,time,F8,F4,F3,F7,,,
0,0,0.16426975,0.166933344,0.128804773,0.170417031,,,
1,0.004,0.164268141,0.16693217187499998,0.128803734,0.170415953,,,
2,0.008,0.16426709374999998,0.166932813,0.1288035,0.1704165,,,
3,0.012,0.16426571874999998,0.166934859,0.12880306249999998,0.170418141,,,
4,0.016,0.164263703,0.166936328,0.12880239062499999,0.170419813,,,
5,0.02,0.164262469,0.166935125,0.128801789,0.170419281,,,
6,0.024,0.164262734,0.166933313,0.128801789,0.1704175,,,
7,0.028,0.16426253124999998,0.166933313,0.128801586,0.170417609,,,
8,0.032,0.164260688,0.166935016,0.128801484,0.17041974999999998,,,
9,0.036,0.16425767187499998,0.166935828,0.128800648,0.17042115624999998,,,
10,0.04,0.164255094,0.166934516,0.128800078,0.170420188,,,
11,0.044,0.16425489062499998,0.166932844,0.128800344,0.170418578,,,
12,0.048,0.164254422,0.166932781,0.128801484,0.170418984,,,
13,0.052,0.16425321874999999,0.16693435937499998,0.128801586,0.170420953,,,
14,0.056,0.164250938,0.1669355,0.128800383,0.170422297,,,
15,0.06,0.164248484,0.166934484,0.128799141,0.170421219,,,
16,0.064,0.164247313,0.16693257812499998,0.128800109,0.170419141,,,
17,0.068,0.164248125,0.16693290624999998,0.128801219,0.170419219,,,
18,0.072,0.164247453,0.166934625,0.12880139062499998,0.170420984,,,
19,0.076,0.16424476562499998,0.16693576562499998,0.12880125,0.17042223437499998,,,
20,0.08,0.164241141,0.166934922,0.12880075,0.170421391,,,
21,0.084,0.164239297,0.166933813,0.128800516,0.170420281,,,
22,0.088,0.164238469,0.16693398437499998,0.12880014843749998,0.170420656,,,
23,0.092,0.164237766,0.166935125,0.128799273,0.170422094,,,
24,0.096,0.16423545312499999,0.16693643749999998,0.128797461,0.170423406,,,
25,0.1,0.164232797,0.166936031,0.128796391,0.17042282812499998,,,
26,0.104,0.164231094,0.166935422,0.128795117,0.17042196874999999,,,
27,0.108,0.16422937499999998,0.166935859,0.12879447656249998,0.17042256249999999,,,
28,0.112,0.16422807812499998,0.166936969,0.128794414,0.17042393749999998,,,
29,0.116,0.16422689062499998,0.16693746874999998,0.128793539,0.170424875,,,
30,0.12,0.16422559374999998,0.166935797,0.128792336,0.17042353124999998,,,
31,0.124,0.164225047,0.16693439062499998,0.128791227,0.170422031,,,
32,0.128,0.164224984,0.166934719,0.12879093,0.170422469,,,
33,0.132,0.16422525,0.166935969,0.128790555,0.17042404687499998,,,
34,0.136,0.164224578,0.16693646874999998,0.128789383,0.17042490624999998,,,
35,0.14,0.164223906,0.166935219,0.128787508,0.170424141,,,
36,0.144,0.164224141,0.166933641,0.128786734,0.17042282812499998,,,
37,0.148,0.16422492187499999,0.166933453,0.12878740624999999,0.170422797,,,
38,0.152,0.16422525,0.16693435937499998,0.128787477,0.170423703,,,
39,0.156,0.16422418749999998,0.16693475,0.128787336,0.170424516,,,
40,0.16,0.16422243749999998,0.166933516,0.128786938,0.17042360937499998,,,
41,0.164,0.16422035937499999,0.166932516,0.128786398,0.170422734,,,
42,0.168,0.16421892187499998,0.166933078,0.128786734,0.170423375,,,
43,0.172,0.164217703,0.166934594,0.128786867,0.170425078,,,
44,0.176,0.164217,0.166935219,0.12878586718749999,0.170425813,,,
45,0.18,0.16421646874999998,0.16693375,0.128784453,0.17042434374999998,,,
46,0.184,0.16421728124999999,0.16693220312499998,0.12878375,0.17042282812499998,,,
47,0.188,0.164218422,0.16693257812499998,0.128783313,0.170423406,,,
48,0.192,0.164217078,0.16693435937499998,0.128781906,0.170425484,,,
49,0.196,0.164215625,0.16693565624999998,0.12878060156249999,0.170426859,,,
50,0.2,0.16421375,0.166934922,0.128778484,0.170425813,,,
51,0.204,0.164212547,0.16693395312499998,0.128776641,0.17042460937499998,,,
52,0.208,0.164211344,0.166934859,0.128775773,0.170425375,,,
53,0.212,0.16421053124999999,0.166936094,0.12877557,0.17042675,,,
54,0.216,0.164208891,0.166936969,0.128774563,0.170427766,,,
55,0.22,0.16420704687499998,0.166936,0.12877332,0.170426859,,,
56,0.224,0.164207109,0.16693506249999998,0.12877214843749998,0.170425781,,,
57,0.228,0.164206688,0.166935625,0.128771078,0.170426453,,,
58,0.232,0.164204875,0.166936625,0.12877077343749999,0.17042782812499999,,,
59,0.236,0.164203094,0.16693714062499998,0.128769938,0.17042849999999998,,,
60,0.24,0.164200844,0.166936234,0.128768695,0.170427656,,,
61,0.244,0.164200172,0.16693495312499998,0.128768766,0.17042668749999998,,,
62,0.248,0.1641995,0.16693495312499998,0.128769703,0.170427156,,,
63,0.252,0.16419762499999999,0.166936156,0.128769867,0.17042887499999998,,,
64,0.256,0.164195281,0.166936906,0.128769102,0.170430016,,,
65,0.26,0.164193234,0.166936094,0.128767789,0.170429672,,,
66,0.264,0.164192703,0.16693468749999998,0.128766789,0.170428438,,,
67,0.268,0.164192594,0.166934828,0.128766383,0.170428406,,,
68,0.272,0.16419262499999998,0.166936391,0.128765578,0.170429938,,,
69,0.276,0.164191484,0.166937672,0.128764172,0.170431516,,,
70,0.28,0.164189781,0.166936859,0.128762961,0.170430672,,,
71,0.284,0.16418917187499998,0.166935531,0.128762328,0.170429266,,,
72,0.288,0.164188375,0.166936328,0.128761828,0.170429938,,,
73,0.292,0.16418706249999998,0.166937969,0.128761422,0.170431781,,,
74,0.296,0.16418475,0.166938781,0.128760922,0.170433125,,,
75,0.3,0.164183109,0.166937813,0.128759578,0.170432188,,,
76,0.304,0.164182813,0.166936297,0.128758875,0.170430844,,,
77,0.308,0.16418357812499998,0.166936266,0.12875770312499998,0.17043087499999998,,,
78,0.312,0.164183344,0.166938,0.12875632812499999,0.170432797,,,
79,0.316,0.16418153124999998,0.166939281,0.128755656,0.170434531,,,
80,0.32,0.164180063,0.166938203,0.12875381249999998,0.170433703,,,
81,0.324,0.164180625,0.166936969,0.12875173437499998,0.170432219,,,
82,0.328,0.16418120312499998,0.166936859,0.128751664,0.170432188,,,
83,0.332,0.164179953,0.166938109,0.128750961,0.170433625,,,
84,0.336,0.16417771874999998,0.166938875,0.128750828,0.170434797,,,
