,time,F8,F4,F3,F7,,,
0,0,0.098366633,0.21077887499999998,0.165046813,0.137449406,,,
1,0.004,0.098360828,0.210779188,0.165048188,0.137446344,,,
2,0.008,0.0983675,0.210779188,0.165049828,0.13744956249999998,,,
3,0.012,0.098377187,0.21077764062499998,0.16505017187499998,0.137455563,,,
4,0.016,0.098375578,0.21077445312499998,0.165048328,0.13745593749999999,,,
5,0.02,0.098365961,0.210772953,0.165047719,0.137449406,,,
6,0.024,0.098361367,0.210773547,0.165049531,0.137445234,,,
7,0.028,0.098367297,0.210773781,0.16505154687499998,0.137447688,,,
8,0.032,0.098376352,0.210772313,0.165051813,0.137452922,,,
9,0.036,0.09837518,0.21076874999999998,0.165049594,0.137452891,,,
10,0.04,0.098364516,0.210766938,0.16504876562499998,0.137447688,,,
11,0.044,0.098358016,0.210767547,0.1650505,0.137444203,,,
12,0.048,0.098363008,0.21076818749999998,0.165052609,0.137446719,,,
13,0.052,0.098374008,0.21076640624999998,0.165052453,0.137452016,,,
14,0.056,0.098375812,0.210763063,0.16505032812499998,0.13745067187499999,,,
15,0.06,0.098367297,0.210761719,0.165049594,0.137442969,,,
16,0.064,0.098359891,0.21076254687499998,0.165051203,0.137439344,,,
17,0.068,0.09836368,0.210763063,0.165053078,0.137442391,,,
18,0.072,0.0983735,0.21076140624999998,0.165053125,0.137448219,,,
19,0.076,0.098373164,0.210757891,0.165050609,0.137447719,,,
20,0.08,0.098363813,0.210756078,0.16504976562499998,0.137441281,,,
21,0.084,0.098358586,0.210757188,0.165051375,0.137436531,,,
22,0.088,0.098362742,0.21075835937499998,0.16505362499999998,0.137439203,,,
23,0.092,0.098369445,0.210757531,0.165054453,0.137444844,,,
24,0.096,0.09836757,0.210754938,0.165052719,0.137442828,,,
25,0.1,0.09835875,0.210754109,0.165052344,0.137433734,,,
26,0.104,0.09835275,0.21075531249999999,0.165054063,0.137428078,,,
27,0.108,0.098355898,0.210756719,0.165056641,0.137430219,,,
28,0.112,0.098362906,0.21075624999999998,0.165057719,0.13743468749999999,,,
29,0.116,0.098359992,0.210753438,0.165055969,0.13743279687499999,,,
30,0.12,0.098350102,0.210752266,0.165055531,0.13742404687499998,,,
31,0.124,0.098343227,0.210753266,0.165057313,0.137418391,,,
32,0.128,0.098346945,0.210754141,0.165059516,0.137421406,,,
33,0.132,0.098354461,0.210752938,0.165060063,0.13742690624999998,,,
34,0.136,0.098353852,0.210749844,0.16505818749999998,0.13742445312499998,,,
35,0.14,0.098344234,0.210748672,0.16505748437499998,0.13741678124999998,,,
36,0.144,0.098336625,0.210750078,0.165059719,0.137411984,,,
37,0.148,0.098342391,0.210750484,0.165061766,0.13741332812499998,,,
38,0.152,0.098352516,0.21074920312499998,0.165062063,0.137417984,,,
39,0.156,0.098351508,0.210746188,0.165060219,0.137416578,,,
40,0.16,0.098342188,0.210744891,0.16505989062499998,0.137408531,,,
41,0.164,0.098334477,0.210745984,0.16506237499999998,0.137403641,,,
42,0.168,0.098336789,0.210746734,0.165065016,0.137406516,,,
43,0.172,0.098345875,0.210745547,0.16506545312499998,0.13741154687499998,,,
44,0.176,0.098345672,0.210742531,0.165063609,0.137410266,,,
45,0.18,0.09833525,0.21074115624999998,0.16506307812499998,0.137403563,,,
46,0.184,0.098327805,0.210742438,0.165065281,0.13739904687499999,,,
47,0.188,0.098330422,0.21074304687499998,0.1650675,0.13740179687499998,,,
48,0.192,0.098338031,0.210741734,0.165068,0.13740775,,,
49,0.196,0.098336922,0.210738688,0.165066188,0.13740665624999998,,,
50,0.2,0.098327703,0.21073767187499998,0.16506585937499998,0.137397797,,,
51,0.204,0.098321602,0.210738547,0.165067766,0.137391906,,,
52,0.208,0.098325961,0.210739016,0.16506960937499998,0.13739474999999998,,,
53,0.212,0.098334781,0.210737906,0.16507001562499998,0.13740042187499998,,,
54,0.216,0.098332664,0.210735094,0.165068078,0.13739923437499998,,,
55,0.22,0.098320695,0.21073432812499998,0.165067766,0.137392031,,,
56,0.224,0.098316469,0.210735766,0.165069844,0.137385531,,,
57,0.228,0.098321,0.210736672,0.165072125,0.137387234,,,
58,0.232,0.098329383,0.21073573437499998,0.165072625,0.13739237499999998,,,
59,0.236,0.098327906,0.210733047,0.165071063,0.137389953,,,
60,0.24,0.098317039,0.210732109,0.16507071874999998,0.137382016,,,
61,0.244,0.098311109,0.21073292187499998,0.165072297,0.137377813,,,
62,0.248,0.09831493,0.210733891,0.16507446874999998,0.13738106249999998,,,
63,0.252,0.098321,0.21073351562499998,0.16507595312499998,0.137386875,,,
64,0.256,0.09831818,0.21073114062499998,0.165075016,0.137384281,,,
65,0.26,0.098307687,0.210730203,0.165074609,0.13737479687499998,,,
66,0.264,0.098301484,0.210731203,0.16507628124999998,0.137369703,,,
67,0.268,0.098306109,0.21073143749999998,0.165077922,0.13737282812499998,,,
68,0.272,0.098315664,0.210729563,0.16507776562499998,0.137377891,,,
69,0.276,0.098315602,0.210726344,0.165075609,0.13737557812499998,,,
70,0.28,0.098307219,0.210724969,0.165074906,0.137367766,,,
71,0.284,0.098301047,0.210725938,0.165076922,0.137363531,,,
72,0.288,0.098306648,0.21072617187499998,0.16507846874999998,0.137365984,,,
73,0.292,0.09831607,0.21072482812499999,0.165078672,0.137370813,,,
74,0.296,0.098315398,0.210722078,0.165076859,0.13736756249999998,,,
75,0.3,0.098304367,0.21072142187499998,0.16507665624999998,0.13735881249999998,,,
76,0.304,0.098296992,0.21072309374999998,0.165079109,0.137353516,,,
77,0.308,0.098299305,0.210724297,0.165081891,0.137355859,,,
78,0.312,0.098307758,0.21072312499999998,0.165082391,0.13736051562499998,,,
79,0.316,0.098305445,0.210720406,0.16508084374999998,0.13735881249999998,,,
80,0.32,0.098293508,0.210719813,0.16508081249999998,0.13735065624999998,,,
81,0.324,0.09828432,0.21072168749999998,0.165083688,0.137346297,,,
82,0.328,0.098289648,0.21072275,0.165085969,0.13734775,,,
83,0.332,0.098297398,0.210721656,0.165086438,0.1373525,,,
84,0.336,0.098296789,0.21071867187499999,0.16508432812499998,0.137350453,,,
85,0.34,0.098287508,0.210717891,0.16508403124999999,0.13734271874999998,,,
86,0.344,0.098280898,0.21071926562499999,0.165086172,0.137338016,,,
87,0.348,0.098285828,0.21072004687499998,0.165088125,0.137339359,,,
88,0.352,0.098293945,0.21071882812499998,0.165088328,0.137344156,,,
89,0.356,0.098292195,0.210715813,0.16508625,0.137343547,,,
90,0.36,0.098281133,0.210714984,0.16508610937499998,0.137336406,,,
91,0.364,0.098273625,0.210716953,0.165088922,0.137331078,,,
92,0.368,0.09827718,0.21071815624999998,0.16509126562499998,0.137332984,,,
93,0.372,0.098284953,0.210717328,0.165091734,0.13733785937499998,,,
94,0.376,0.098282305,0.21071464062499998,0.165090172,0.137335734,,,
95,0.38,0.098271078,0.210713844,0.16509,0.137327969,,,
96,0.384,0.098265742,0.210715406,0.165092578,0.13732279687499999,,,
97,0.388,0.098268461,0.210716109,0.165095031,0.13732517187499999,,,
98,0.392,0.098275602,0.210714984,0.165095438,0.13733043749999999,,,
99,0.396,0.098273289,0.21071226562499998,0.16509385937499998,0.137327563,,,
100,0.4,0.098261758,0.21071162499999999,0.165093891,0.137318844,,,
101,0.404,0.098253641,0.210713469,0.165096438,0.13731371874999998,,,
102,0.408,0.098257766,0.210714469,0.16509860937499998,0.137315625,,,
103,0.412,0.098265711,0.210713438,0.16509898437499998,0.137320422,,,
104,0.416,0.098263938,0.210710859,0.165097469,0.137318031,,,
105,0.42,0.098251094,0.21071051562499998,0.165097641,0.137309688,,,
106,0.424,0.09824375,0.210712125,0.165100063,0.13730459374999998,,,
107,0.428,0.098250188,0.210713141,0.165102234,0.137305156,,,
108,0.432,0.098258336,0.210712234,0.165102641,0.13730945312499998,,,
109,0.436,0.098255617,0.210709641,0.165101031,0.137306531,,,
110,0.44,0.098245156,0.210709016,0.165100828,0.13729835937499998,,,
111,0.444,0.098237383,0.21071075,0.165103141,0.137293656,,,
112,0.448,0.098239594,0.21071218749999998,0.165105516,0.13729617187499998,,,
113,0.452,0.098246805,0.21071118749999998,0.165105859,0.137301234,,,
114,0.456,0.098245195,0.21070843749999998,0.165103813,0.137298688,,,
115,0.46,0.098234734,0.210707828,0.16510346874999998,0.13728990624999998,,,
116,0.464,0.098227594,0.210709344,0.165105516,0.137284781,,,
117,0.468,0.098230508,0.210709844,0.165107094,0.13728882812499998,,,
118,0.472,0.098239563,0.21070799999999998,0.165106563,0.137294703,,,
119,0.476,0.098239023,0.210705047,0.165104516,0.137292484,,,
120,0.48,0.098227891,0.210704422,0.165104313,0.137284438,,,
121,0.484,0.098222625,0.210705484,0.165105688,0.137280422,,,
122,0.488,0.098227188,0.210706188,0.165107406,0.137283031,,,
123,0.492,0.098234867,0.21070562499999998,0.16510803124999998,0.137287625,,,
124,0.496,0.098231914,0.210703672,0.16510665624999998,0.13728504687499998,,,
125,0.5,0.098220617,0.210702641,0.165105719,0.13727799999999998,,,
126,0.504,0.098212906,0.210703813,0.165107594,0.137274719,,,
127,0.508,0.098218102,0.210704484,0.165109281,0.137277906,,,
128,0.512,0.098227453,0.21070314062499998,0.165109172,0.137283469,,,
129,0.516,0.098226383,0.210700031,0.16510706249999998,0.137282234,,,
130,0.52,0.098216227,0.210698844,0.165106297,0.137274953,,,
131,0.524,0.098210555,0.210700156,0.165108234,0.13726965624999998,,,
132,0.528,0.098215789,0.21070065624999998,0.165109953,0.13727184374999998,,,
133,0.532,0.098222797,0.210699219,0.16510984374999998,0.137278844,,,
134,0.536,0.098218172,0.210696,0.16510743749999998,0.137280359,,,
135,0.54,0.098207172,0.21069468749999998,0.165106594,0.137274188,,,
136,0.544,0.098201336,0.210695703,0.165108469,0.13727103124999998,,,
137,0.548,0.098205258,0.210696328,0.165110453,0.13727532812499998,,,
138,0.552,0.09821207,0.210695156,0.165110484,0.1372815,,,
139,0.556,0.09820818,0.21069264062499998,0.16510873437499998,0.137280516,,,
140,0.56,0.098196477,0.21069204687499998,0.165108703,0.13727375,,,
141,0.564,0.098188531,0.210693625,0.165111016,0.137269828,,,
142,0.568,0.098190945,0.21069482812499998,0.16511329687499998,0.13727314062499998,,,
143,0.572,0.098197281,0.21069382812499998,0.165113734,0.137278344,,,
144,0.576,0.098194938,0.21069056249999998,0.16511132812499998,0.1372765,,,
145,0.58,0.098185211,0.21068942187499998,0.165110688,0.13726935937499998,,,
146,0.584,0.098178672,0.21069067187499999,0.165112859,0.13726549999999998,,,
147,0.588,0.098182227,0.21069131249999998,0.16511481249999999,0.137269125,,,
148,0.592,0.09819118,0.210690141,0.16511470312499998,0.137273875,,,
149,0.596,0.098190141,0.210687391,0.16511259374999998,0.137270938,,,
150,0.6,0.098179711,0.210686953,0.165112531,0.13726231249999998,,,
151,0.604,0.098171898,0.210688797,0.165114906,0.137258297,,,
152,0.608,0.098175992,0.210689469,0.165116516,0.137261844,,,
153,0.612,0.098184539,0.210687953,0.165116313,0.137266672,,,
154,0.616,0.098181961,0.210685641,0.1651145,0.137263859,,,
155,0.62,0.098170664,0.210684828,0.165113969,0.137256313,,,
156,0.624,0.098164023,0.21068637499999998,0.165116016,0.137251859,,,
157,0.628,0.098168313,0.21068704687499998,0.16511789062499999,0.137254797,,,
158,0.632,0.098175492,0.210685906,0.165118234,0.137260063,,,
159,0.636,0.098173141,0.210683469,0.165116281,0.137257547,,,
160,0.64,0.098161945,0.21068318749999998,0.165116047,0.137249578,,,
161,0.644,0.098156109,0.21068456249999998,0.165117953,0.137244578,,,
162,0.648,0.098161773,0.210685172,0.165119438,0.137246719,,,
163,0.652,0.098169148,0.21068429687499998,0.16511964062499998,0.137251344,,,
164,0.656,0.098166367,0.210681859,0.165118,0.137248094,,,
165,0.66,0.098154969,0.210680906,0.165117422,0.137239719,,,
166,0.664,0.098150008,0.21068181249999998,0.16511893749999998,0.137236125,,,
