time,F8,F4,Fz,F3,F7
0,0.030010398,0.033269484,0.074749313,0.092124758,0.029342529
0.004,0.030010566406249998,0.033269785156249995,0.074748438,0.092123148,0.029341355
0.008,0.030008924,0.033270223,0.074750617,0.09212268,0.029341322265624997
0.012,0.030008789,0.03326982,0.074751258,0.092122281,0.029341355
0.016,0.030009728515624997,0.033268914,0.074749008,0.092120969,0.029340215
0.02,0.030010566406249998,0.033268813,0.074745922,0.092117984,0.029340650390624997
0.024,0.030010902,0.033268914,0.07474418,0.092114703,0.029338941
0.028,0.030008554687499998,0.033268914,0.074745148,0.092112688,0.029337197
0.032,0.030007447265624997,0.033269148,0.074747195,0.092110781,0.029337734374999997
0.036,0.030006945312499998,0.03326925,0.074747602,0.092109039,0.029336627
0.04,0.030006843749999998,0.033269148,0.074745719,0.092106422,0.029336861328124998
0.044,0.030007113281249997,0.03326898,0.074744414,0.0921035,0.029336359
0.048,0.030008419921874998,0.033269184,0.074746227,0.092100453,0.029333609
0.052,0.030007314,0.033269515624999996,0.074748172,0.092098305,0.029335085937499998
0.056,0.030004966796874998,0.03326868,0.074748508,0.092096125,0.029337867
0.06,0.03000557,0.033269551,0.074746797,0.092093914,0.029337299
0.064,0.030005705,0.03327059,0.074745219,0.092091703,0.029336458984374997
0.068,0.030006609,0.033270488281249996,0.074746391,0.092089828,0.029336527
0.072,0.030007281,0.033270355,0.074748438,0.092088383,0.029337029296874997
0.076,0.030006912,0.03326975,0.074747734,0.092087242,0.029335621
0.08,0.030007080078124998,0.033268914,0.074745148,0.092085469,0.029335587890624997
0.084,0.030007648,0.033268379,0.074743844,0.092083523,0.029334852
0.088,0.030008554687499998,0.033268074,0.074744281,0.092081008,0.029331766
0.092,0.030007011718749997,0.033266734374999996,0.074745523,0.092078492,0.029332503906249998
0.096,0.030006441406249997,0.033266063,0.074744953,0.092077352,0.029333644531249998
0.1,0.030007348,0.033265593749999996,0.074741797,0.09207507,0.029333978515624998
0.104,0.030007849609374998,0.033265227,0.074739953,0.092072961,0.029334248046874997
0.108,0.030007548828124998,0.033265863281249995,0.074742031,0.092071555,0.029335085937499998
0.112,0.030006912,0.033265796874999996,0.074743914,0.092070281,0.029335587890624997
0.116,0.030006576171874997,0.033265964843749996,0.074742641,0.092068703,0.029335017578124997
0.12,0.030007314,0.033266199,0.074739891,0.092066859,0.029334582031249997
0.124,0.030006945312499998,0.033265695312499996,0.074738516,0.092065516,0.029336124999999998
0.128,0.030006509765624998,0.03326516,0.074740227,0.092064578,0.029336627
0.132,0.030005837890624998,0.033264957,0.074742367,0.092063539,0.029337768
0.136,0.030006643,0.033265629,0.07474193,0.092062664,0.029339746093749997
0.14,0.030007515624999998,0.033265863281249995,0.074740695,0.092061156,0.029338773
0.144,0.030006843749999998,0.033265563,0.074741297,0.092059414,0.029337633
0.148,0.030007548828124998,0.033264891,0.07474257,0.092058039,0.029336425781249998
0.152,0.030008051,0.033264355,0.074742773,0.092056164,0.029334683593749997
0.156,0.030008186,0.033264891,0.07474207,0.092054219,0.029336359
0.16,0.030006945312499998,0.033264824218749996,0.074739383,0.092052508,0.029338371
0.164,0.030005503906249998,0.033264121,0.074737508,0.092050297,0.029338807
0.168,0.030005671874999997,0.033264285,0.074738578,0.092047414,0.029337768
0.172,0.030006174,0.033265395,0.074740289,0.092045336,0.029335621
0.176,0.030007246,0.033265727,0.074738781,0.092043656,0.029333912
0.18,0.030007011718749997,0.033265059,0.07473593,0.092040805,0.029334515624999998
0.184,0.030007281,0.033265563,0.074735766,0.092038195,0.029335689453124997
0.188,0.030007348,0.033265863281249995,0.074736438,0.092036414,0.029334683593749997
0.192,0.030006677734374997,0.03326509,0.074737008,0.092034336,0.029333846
0.196,0.030006342,0.033264285,0.074735594,0.092031719,0.029334248046874997
0.2,0.030006542968749998,0.033264051,0.074733414,0.092029406,0.029334582031249997
