,time,F8,F4,F3,F7
0,0,0.031662505859374995,0.159768703,0.074424492,0.048904281
1,0.004,0.031623346,0.15976285937499998,0.074425734,0.048863813
2,0.008,0.03163384,0.159758031,0.074423391,0.048874543
3,0.012,0.031669949,0.159761922,0.074423352,0.048910046874999995
4,0.016,0.031665154,0.15976634374999998,0.074424961,0.048905789062499996
5,0.02,0.031663779,0.159768188,0.074429156,0.048901801
6,0.024,0.031622004,0.159761516,0.074430328,0.048859218749999996
7,0.028,0.031631525,0.15975414062499999,0.07442875,0.048869648437499996
8,0.032,0.031667166,0.159757031,0.07442882,0.048903813
9,0.036,0.03166341,0.159761984,0.074428453,0.048899152343749995
10,0.04,0.03166217,0.15976326562499998,0.074431203,0.048901195
11,0.044,0.031623512,0.159757266,0.074431836,0.048862172
12,0.048,0.031633303,0.159751672,0.074430258,0.048872129
13,0.052,0.031669848,0.159754953,0.074430727,0.048904917968749996
14,0.056,0.03166398,0.159759719,0.074431062,0.048897574218749996
15,0.06,0.031662269531249995,0.159762094,0.07443418,0.048897808593749995
16,0.064,0.031622506,0.159757234,0.07443593,0.048859218749999996
17,0.068,0.031630285,0.159751391,0.074435086,0.048871961
18,0.072,0.031667736,0.159754656,0.07443593,0.048904617
19,0.076,0.031664785,0.159759719,0.074435961,0.048897441
20,0.08,0.03166408,0.159761797,0.074438406,0.048897039062499995
21,0.084,0.031625457,0.15975559374999998,0.07443807,0.048856137
22,0.088,0.031638734,0.159750125,0.074435391,0.048866832031249995
23,0.092,0.031676117,0.15975384374999999,0.074434922,0.048900894531249996
24,0.096,0.031669546874999996,0.159758438,0.074435523,0.048895128906249995
25,0.1,0.031666292968749996,0.159760516,0.074438711,0.04889543
26,0.104,0.031625625,0.159755078,0.07443918,0.048855867
27,0.108,0.031637627,0.159749719,0.074437031,0.048865758
28,0.112,0.031675012,0.15975340624999998,0.074435625,0.048900156
29,0.116,0.031668674,0.159757875,0.074434219,0.048894188
30,0.12,0.031664281249999995,0.15975967187499998,0.074436531,0.048896035156249996
31,0.124,0.031623109,0.159753344,0.074437102,0.048858718749999995
32,0.128,0.031631156,0.159747641,0.074434719,0.048869277343749996
33,0.132,0.031664281249999995,0.159750828,0.074434789,0.048900559
34,0.136,0.031657744,0.159754984,0.074433617,0.048892547
35,0.14,0.031653352,0.15975629687499998,0.074436563,0.048890098
36,0.144,0.031611408,0.15975032812499998,0.074437367,0.048850035
37,0.148,0.031621232,0.159743625,0.074435625,0.048858984
38,0.152,0.031654828,0.159745297,0.07443482,0.048891609
39,0.156,0.031648357421874995,0.159747438,0.07443375,0.048885102
40,0.16,0.031646881,0.159747813,0.074435789,0.048884699
41,0.164,0.031609432,0.159741172,0.074437266,0.048847148437499995
42,0.168,0.031619523,0.159735063,0.0744365,0.048858984
43,0.172,0.031652246093749996,0.159738188,0.074436094,0.048891976562499995
44,0.176,0.031646881,0.159741875,0.074434422,0.04888393
45,0.18,0.031644668,0.15974357812499998,0.07443425,0.048882789
46,0.184,0.031605576,0.159737375,0.074431062,0.048842723
47,0.188,0.031617545,0.15973207812499998,0.074428047,0.048852047
48,0.192,0.031654525,0.159735438,0.074427711,0.048885102
49,0.196,0.031650268,0.159739391,0.074427211,0.048878027
50,0.2,0.031648054687499996,0.15974023437499998,0.074429555,0.048877324
51,0.204,0.031607955,0.15973318749999998,0.074429891,0.048839605
52,0.208,0.031617677734374995,0.159727828,0.074428555,0.048850335937499996
53,0.212,0.031653184,0.159731281,0.074428555,0.048883461
54,0.216,0.031646346,0.159735172,0.074428078,0.048878934
55,0.22,0.031644568,0.15973604687499998,0.074430258,0.048879168
56,0.224,0.03160618,0.159729938,0.074430562,0.048839773
57,0.228,0.031617746093749996,0.15972551562499998,0.074427242,0.048849699
58,0.232,0.031653352,0.159728938,0.074425031,0.048882523
59,0.236,0.031648893,0.159733031,0.074423688,0.048875684
60,0.24,0.031647919921874997,0.159734531,0.074425367,0.048873133
61,0.244,0.031607586,0.159728938,0.074425398,0.048833738
62,0.248,0.031619053,0.159723609,0.074423789,0.048843629
63,0.252,0.03165657,0.159727688,0.074423523,0.048879707
64,0.256,0.031651877,0.159733125,0.074424563,0.048874710937499996
65,0.26,0.031649697,0.159734906,0.074427813,0.048875648437499995
66,0.264,0.031609867,0.15973007812499998,0.074428148,0.048834242187499995
67,0.268,0.031619623046874996,0.159724984,0.074426641,0.048842723
68,0.272,0.031656537,0.159727859,0.07442657,0.048876117
69,0.276,0.031652379,0.15973175,0.074424625,0.048872063
70,0.28,0.031648256,0.159733797,0.074426273,0.04887491
71,0.284,0.031608390624999996,0.159728969,0.074427414,0.04883716
72,0.288,0.031622004,0.159723672,0.074425195,0.048846512
73,0.292,0.031658146,0.159727422,0.074425602,0.048877426
74,0.296,0.031650871,0.159731719,0.074425969,0.048873035
75,0.3,0.031648021,0.159732547,0.074428047,0.048873
76,0.304,0.031605844,0.159726984,0.074428719,0.048833101562499995
77,0.308,0.031617143,0.159720781,0.074426672,0.048844902343749996
78,0.312,0.031652949,0.159724375,0.074426609,0.048879839843749995
79,0.316,0.031648156,0.159728156,0.074426508,0.048873402
80,0.32,0.031648121093749995,0.159729875,0.074428789,0.048871558593749996
81,0.324,0.031609195,0.159724609,0.074428078,0.048831828
82,0.328,0.031622172,0.159719203,0.074424531,0.048842457031249994
83,0.332,0.031657477,0.159722797,0.07442282,0.048876789062499995
84,0.336,0.031649027,0.159727359,0.074421547,0.048869379
85,0.34,0.031646848,0.159728969,0.074422719,0.048868172
86,0.344,0.031605441,0.15972232812499998,0.074422383,0.048828808593749995
87,0.348,0.031615566,0.15971679687499998,0.074420937,0.048839035156249995
88,0.352,0.031652346,0.159719813,0.074420703,0.048873906249999995
89,0.356,0.031647518,0.15972384374999998,0.074421711,0.048867535156249996
90,0.36,0.031647652,0.15972581249999998,0.074424727,0.048866262
91,0.364,0.031609162,0.159721156,0.074424227,0.048824117187499995
92,0.368,0.031622037,0.159716219,0.074421273,0.048833402
93,0.372,0.031658314453124996,0.15971987499999998,0.074420773,0.048866898
94,0.376,0.031650033,0.15972384374999998,0.074420367,0.048861836
95,0.38,0.031648559,0.15972551562499998,0.074422484,0.04886234
96,0.384,0.031610873,0.15971954687499998,0.074423453,0.048821434
97,0.388,0.031622506,0.159713875,0.074421445,0.048831762
98,0.392,0.031657979,0.159718141,0.074420703,0.048867636718749996
99,0.396,0.031652781,0.159722391,0.074420031,0.048863547
100,0.4,0.031650502,0.15972384374999998,0.07442225,0.048864785
101,0.404,0.031608928,0.159718438,0.074422719,0.048826867
102,0.408,0.031620059,0.159713984,0.074420773,0.04883793
103,0.412,0.031658918,0.159716625,0.074418664,0.048870453
104,0.416,0.031656068,0.159720484,0.074416813,0.048863613281249996
105,0.42,0.031651943,0.159723609,0.074417555,0.048862437499999994
106,0.424,0.031612248,0.159718313,0.074416078,0.048824352
107,0.428,0.031624016,0.159713281,0.074412695,0.048834711
108,0.432,0.031659053,0.15971679687499998,0.074412422,0.048867972656249994
109,0.436,0.031653855,0.15972057812499998,0.074413734,0.048862269531249995
110,0.44,0.031653018,0.159722797,0.074416914,0.048860492
111,0.444,0.031613924,0.159717031,0.074418156,0.048821332
112,0.448,0.031624451,0.15971190624999998,0.074417188,0.048832734
113,0.452,0.031660326171874996,0.159715891,0.074416914,0.04886616
114,0.456,0.031657173828124996,0.15972039062499999,0.074416344,0.048861230468749996
115,0.46,0.031657074,0.15972232812499998,0.07441943,0.048863613281249996
116,0.464,0.031619221,0.15971779687499998,0.074420703,0.048828105
117,0.468,0.031631759765624996,0.15971325,0.074420203,0.048841184
118,0.472,0.031667433593749995,0.159717438,0.074420305,0.048875816406249994
119,0.476,0.031661969,0.159722125,0.074420102,0.04886891
120,0.48,0.031661734,0.159723875,0.074422547,0.048867804687499995
121,0.484,0.031621334,0.15971820312499999,0.074423219,0.048829715
122,0.488,0.031633369,0.159713375,0.074421609,0.048840645
123,0.492,0.031668373,0.15971749999999998,0.074422352,0.048875348
124,0.496,0.0316616,0.159721391,0.074423992,0.048869313
125,0.5,0.031659218749999996,0.159723,0.074426641,0.048867972656249994
126,0.504,0.031618518,0.159717359,0.074428313,0.048831996093749996
127,0.508,0.031630822,0.159712734,0.074427414,0.048845777
128,0.512,0.031667265624999996,0.159717328,0.074426141,0.048878195
129,0.516,0.031661332031249996,0.15972203124999998,0.074423961,0.048868609
130,0.52,0.031658984,0.1597235,0.074424625,0.048866195
131,0.524,0.031618785156249996,0.159718438,0.074422953,0.048825559
132,0.528,0.031631156,0.159713438,0.074419836,0.048836758
133,0.532,0.031666863,0.159716359,0.074419664,0.048871828124999996
134,0.536,0.031660594,0.159720453,0.074418828,0.048864953
135,0.54,0.031656805,0.159722156,0.074420602,0.048863277
136,0.544,0.031615834,0.159716531,0.074420172,0.048823512
