time,F8,F4,Fz,F3,F7
0,0.028155885,0.051535395,0.046009773,0.016379882,0.034369523
0.004,0.028155953124999997,0.051534789062499996,0.046015507812499995,0.016379043945312498,0.034370160156249996
0.008,0.028155683593749998,0.05153432,0.046014066,0.016379513,0.034370563
0.012,0.028155851562499997,0.051534723,0.04601098,0.016380149,0.034371199218749995
0.016,0.028156422,0.051534254,0.046005382812499995,0.016378708,0.034371066
0.02,0.028156891,0.051533316406249995,0.046007898,0.016378071,0.034370195
0.024,0.028157025,0.051533316406249995,0.046013328124999996,0.01637834,0.034370832
0.028,0.028157025,0.051533012,0.04601259,0.016378876,0.034373078
0.032,0.028156355468749998,0.051531402,0.046010109,0.016379781,0.034374152
0.036,0.028155182,0.051529226562499995,0.046006055,0.016379982421874998,0.034372844
0.04,0.028154611,0.051528187499999996,0.046009675781249995,0.016380116,0.034373312499999996
0.044,0.028154376953124997,0.051528824,0.046016480468749996,0.016381155,0.034375391
0.048,0.028154443,0.051530195,0.046015609374999995,0.016381927,0.03437727
0.052,0.028154746,0.05153023,0.04601182,0.016382329,0.034376363281249996
0.056,0.028154008,0.051528085937499996,0.046006055,0.016381558,0.03437509
0.06,0.028153539,0.051526843749999995,0.046009773,0.016381391,0.034377137
0.064,0.028154176,0.05152718,0.046016078,0.01638243,0.034378512
0.068,0.028154677734374998,0.05152698,0.046014738281249995,0.016382530273437498,0.034380453
0.072,0.028155014,0.051526945312499996,0.046010949,0.016381959960937498,0.034380188
0.076,0.028154846,0.051526207,0.04600525,0.016380787,0.034378176
0.08,0.028154713,0.051525133,0.046008566,0.016381089,0.03437784
0.084,0.028155014,0.051525035156249996,0.046014703,0.016381994140624998,0.03437841
0.088,0.028156086,0.051525301,0.046012961,0.016383569,0.034379515624999996
0.092,0.028156725,0.051524230468749994,0.046010246,0.016384273,0.03437918
0.096,0.028157259765624998,0.051522418,0.046004879,0.016383637,0.03437784
0.1,0.028156791,0.051521078124999994,0.046007328,0.016383234,0.034377371
0.104,0.028156925781249998,0.051521078124999994,0.046012523,0.016383167,0.034377871
0.108,0.028157629,0.051521445,0.046010883,0.016382095,0.034379047
0.112,0.02815716,0.051520707031249995,0.046007597656249996,0.016380753,0.034378008
