time,F8,F4,Fz,F3,F7
0,-0.002184525,0.011486929,0.083790938,0.022074412,0.27932303124999996
0.004,-0.002184726,0.011487868,0.0837905,0.022075016,0.279322594
0.008,-0.002186201,0.011489778,0.083791508,0.022077832031249998,0.279321906
0.012,-0.002184458,0.011490013671874999,0.083791672,0.022078402343749998,0.279323813
0.016,-0.002184592,0.011488772,0.083790836,0.022078234,0.279323438
0.02,-0.002184022,0.011487868,0.0837905,0.022078066,0.279323281
0.024,-0.002185933,0.011486795,0.083792273,0.02208075,0.279321531
0.028,-0.002184391,0.011485487,0.08379268,0.022081252,0.279322563
0.032,-0.00218657,0.011484012,0.083792844,0.022080916,0.279321594
0.036,-0.002186637,0.011484984,0.083792914,0.022081084,0.279321313
0.04,-0.002183184,0.011485588,0.083792375,0.022081018,0.27932340624999996
0.044,-0.002180803,0.011485856,0.083792609,0.022081756,0.279325281
0.048,-0.002179328,0.011485386718749999,0.083792109,0.022081051,0.2793265
0.052,-0.002177484,0.011485152,0.083791703,0.022078300781249997,0.27932821874999997
0.056,-0.002176981,0.011485186,0.083792078,0.022078,0.279328406
0.06,-0.00217782,0.011484683,0.083791,0.022079273437499998,0.279327969
0.064,-0.002176847,0.01148418,0.083789328,0.022078234,0.279329094
0.068,-0.002176981,0.011483476,0.083788625,0.022078201,0.27932956249999996
0.072,-0.002178423,0.011482168,0.083789391,0.022078267578124998,0.279329063
0.076,-0.002175607,0.011482671,0.083788922,0.022076927734374998,0.27933096874999996
0.08,-0.002171919,0.011481899,0.083787117,0.022074781249999998,0.27933375
0.084,-0.002178993,0.01148304,0.083789156,0.022077865,0.2793285
0.088,-0.002178557,0.011485756,0.083790664,0.022078604,0.279328469
0.092,-0.002174333,0.011484481,0.083789664,0.022076960937499997,0.279331906
0.096,-0.002175674,0.011483073242187499,0.083789594,0.022077027,0.279330438
0.1,-0.00217393,0.011479754,0.083788219,0.022077096,0.279330875
0.104,-0.002171651,0.011479821289062499,0.08378725,0.022076357421874998,0.27933274999999996
0.108,-0.002170611,0.011480425,0.083787953,0.022076223,0.279334031
0.112,-0.002172254,0.011481263,0.083789094,0.022077129,0.279333
0.116,-0.002174567,0.011482704,0.083790336,0.022079708984374998,0.279330438
0.12,-0.002170812,0.011483442382812499,0.083788922,0.022078805,0.27933296874999997
0.124,-0.002170645,0.011484112304687499,0.083788789,0.022079207,0.279333156
0.128,-0.002169907,0.011483106,0.083788188,0.022078871,0.279334344
0.132,-0.002172154,0.011483006,0.083789961,0.022080146,0.279332625
0.136,-0.002171684,0.011483073242187499,0.08379057,0.022080414062499998,0.27933296874999997
0.14,-0.00217098,0.011482905,0.083789898,0.022080012,0.27933281249999997
0.144,-0.002171617,0.011482235,0.08378882,0.022080312499999998,0.27933259374999997
0.148,-0.002171449,0.011482973,0.083789359,0.022080381,0.279333219
0.152,-0.002170444,0.011482804687499999,0.083789664,0.022081051,0.2793345
0.156,-0.002170947,0.01148247,0.08379057,0.022083498,0.279334313
0.16,-0.002167795,0.011482738,0.083789625,0.022081789,0.27933625
0.164,-0.002167627,0.011482067382812499,0.083789898,0.022080414062499998,0.27933578124999997
0.168,-0.002166789,0.011481363281249999,0.0837905,0.022080312499999998,0.27933712499999996
0.172,-0.002167627,0.011479318359374999,0.083790531,0.02208075,0.279337094
0.176,-0.002170812,0.011478982421874999,0.083790805,0.022081822,0.27933393749999996
0.18,-0.00217098,0.011480491210937499,0.083790297,0.022083096,0.279333156
0.184,-0.002169136,0.011480558593749999,0.083789727,0.022083801,0.279334938
0.188,-0.00216984,0.011479620117187499,0.083790031,0.022084236,0.27933512499999996
0.192,-0.002169035,0.011479218,0.083789328,0.022083699,0.279335813
0.196,-0.002166923,0.011478212,0.08378782,0.022082894531249998,0.279337
0.2,-0.002167694,0.011478949,0.083788219,0.022084203,0.279336188
0.204,-0.002168935,0.011478916,0.083789625,0.022085275,0.279335094
0.208,-0.002165683,0.011478446,0.083788219,0.022082425781249998,0.279338188
0.212,-0.00216813,0.011478715,0.083788656,0.022082996093749998,0.279336625
0.216,-0.002170209,0.011480961,0.083789695,0.022083531,0.27933453124999996
0.22,-0.002168968,0.011481564453124999,0.083788961,0.022082225,0.279335031
0.224,-0.002161223,0.011479452,0.083785773,0.022078738,0.279340781
0.228,-0.002162363,0.011479117187499999,0.08378507,0.022077297,0.279340781
0.232,-0.002168197,0.011480592,0.083787719,0.022080312499999998,0.27933575
0.236,-0.002167459,0.011481295898437499,0.083788961,0.022081486,0.27933593749999996
0.24,-0.002165951,0.011483073242187499,0.083789664,0.022082594,0.279336781
0.244,-0.002164073,0.011483408,0.083788625,0.022081688,0.279338281
0.248,-0.002164174,0.011483509,0.083788922,0.022082393,0.279338594
0.252,-0.002164073,0.011482269,0.083789125,0.022084102,0.279338813
0.256,-0.002162498,0.011481531,0.083787313,0.022084906249999998,0.279339625
0.26,-0.002159279,0.011481431,0.083785031,0.022083699,0.27934171874999997
0.264,-0.002158105,0.011480928,0.083783562,0.022083969,0.279343094
0.268,-0.002157871,0.011479552734374999,0.083783797,0.022084371,0.279343813
0.272,-0.002156731,0.011477475,0.083782289,0.022082795,0.27934506249999996
0.276,-0.002153344,0.011477306640624999,0.083781047,0.022081285156249998,0.27934684374999996
0.28,-0.002154451,0.011477608,0.08378118,0.022082359,0.279345781
0.284,-0.002159178,0.011478278,0.083782586,0.022084371,0.279342125
0.288,-0.002160586,0.011478614,0.083782617,0.022084335937499998,0.279341594
0.292,-0.002160251,0.011478312499999999,0.083782047,0.022084102,0.279342781
0.296,-0.002159379,0.011479117187499999,0.083781109,0.022084537,0.27934365624999996
0.3,-0.002157569,0.011479620117187499,0.083780445,0.022084504,0.27934431249999997
0.304,-0.002158474,0.011480391,0.083781078,0.022086013671874998,0.279343813
0.308,-0.002158575,0.011478982421874999,0.083781914,0.022087287,0.27934409374999997
0.312,-0.002156194,0.011478346,0.08378175,0.022086347656249998,0.279345625
0.316,-0.00215435,0.011478043945312499,0.083781211,0.022085846,0.27934728124999997
0.32,-0.002153344,0.011476871093749999,0.083779969,0.022085107,0.279347781
0.324,-0.002153881,0.011477206,0.083779398,0.022084773,0.279347844
0.328,-0.002153847,0.011477574,0.083779438,0.022084975,0.279348375
0.332,-0.002151433,0.011475194,0.083776984,0.022082594,0.279351188
0.336,-0.002158172,0.011475966,0.08377843,0.022085578124999998,0.279345938
0.34,-0.002154082,0.011477306640624999,0.0837785,0.022085945312499997,0.279348156
0.344,-0.002150427,0.011476871093749999,0.083777258,0.022084236,0.279351031
0.348,-0.002149355,0.01147563,0.083776484,0.022083164,0.279352094
0.352,-0.002150394,0.011475262,0.083776688,0.022082894531249998,0.279351563
0.356,-0.00214969,0.011475597,0.08377575,0.022082762,0.27935165624999997
0.36,-0.002150595,0.011474825,0.083776555,0.022084672,0.27935125
0.364,-0.002151735,0.011475161,0.083777961,0.022087187499999997,0.279350531
0.368,-0.002151031,0.011474893,0.083778094,0.022086583984374998,0.279351625
0.372,-0.002152372,0.011474724609374999,0.083778734,0.022086818,0.27935106249999997
0.376,-0.002152976,0.011475463,0.083778898,0.022086951171874997,0.27935024999999997
0.38,-0.002147108,0.011475026,0.083776383,0.022084203,0.279354219
0.384,-0.002148248,0.011474759,0.083776922,0.022085007812499998,0.279353375
0.388,-0.002149321,0.011474859,0.083777422,0.022085912109374998,0.279352281
0.392,-0.002148449,0.011474658,0.083777086,0.02208541,0.279353281
0.396,-0.002147343,0.011475026,0.083777961,0.02208675,0.279353781
0.4,-0.002146706,0.011474759,0.083777422,0.022087086,0.279353875
0.404,-0.002146471,0.011475026,0.083778164,0.022087857,0.279354438
0.408,-0.002148148,0.011475060546874999,0.083779602,0.022089266,0.279353969
0.412,-0.002152372,0.011475094,0.083781617,0.022092215,0.279350594
0.416,-0.002150595,0.011474591,0.083781148,0.022092283,0.279351531
0.42,-0.002149489,0.011474523,0.083780742,0.022092383,0.279351625
0.424,-0.002149019,0.011475429,0.083779266,0.022091679687499997,0.279351719
0.428,-0.002145901,0.011474457,0.083776891,0.022088628906249998,0.279354719
0.432,-0.002149154,0.011473082,0.083778094,0.022088962890624998,0.27935284374999997
0.436,-0.002152104,0.011472445,0.083779438,0.022090875,0.27934965624999997
0.44,-0.002152808,0.011472981445312499,0.083778836,0.022091277,0.279349188
0.444,-0.002152708,0.011474791992187499,0.083778297,0.022091511718749998,0.279348781
0.448,-0.002152171,0.011474356,0.083778227,0.022091947,0.279349406
0.452,-0.002151366,0.011473484374999999,0.083778094,0.022091479,0.279350219
0.456,-0.002150126,0.011473585,0.083778125,0.022091646484374998,0.279351469
0.46,-0.002148349,0.011474289,0.083778164,0.022091209,0.279352906
0.464,-0.002147444,0.011475227539062499,0.083778297,0.022092451,0.27935418749999996
0.468,-0.002147745,0.011474188,0.083777156,0.022089968749999998,0.279353781
0.472,-0.00215026,0.011474088,0.083778164,0.0220896,0.27935165624999997
0.476,-0.002148315,0.011475294921874999,0.083777555,0.022089434,0.279353281
0.48,-0.002149992,0.011475328,0.083776719,0.022090875,0.279352313
0.484,-0.002152875,0.011476636,0.083778125,0.022093556640624998,0.279350156
0.488,-0.002156127,0.011477038,0.083779602,0.0220954,0.279348219
0.492,-0.002156965,0.011477139,0.083780539,0.022095166,0.279347313
0.496,-0.002155725,0.011477038,0.083779836,0.022095166,0.279347844
0.5,-0.002154484,0.011477038,0.0837795,0.022095166,0.27934846874999997
0.504,-0.002153378,0.011475932,0.083779336,0.022094562499999998,0.279349188
0.508,-0.002153344,0.011475797851562499,0.0837785,0.022093457,0.27935024999999997
0.512,-0.002154853,0.011475396,0.083777859,0.022094193,0.279349938
0.516,-0.002155356,0.0114761,0.083778328,0.022094395,0.27934906249999997
0.52,-0.002153043,0.011475429,0.083778164,0.022094998046874998,0.27935046874999997
0.524,-0.002149992,0.011473987304687499,0.083776555,0.022094797,0.279353031
0.528,-0.002148651,0.011471170898437499,0.083774844,0.022092953,0.27935478124999996
0.532,-0.002154585,0.011470937,0.083777492,0.022096171874999997,0.27935046874999997
0.536,-0.002151735,0.011473518,0.083777828,0.022096742,0.27935187499999997
0.54,-0.002147913,0.011473518,0.083775984,0.022095066,0.279354531
0.544,-0.002147813,0.011473518,0.083773906,0.022093121093749998,0.279355063
0.548,-0.002151433,0.011472848,0.083774539,0.022093959,0.279352563
0.552,-0.002153344,0.011473215820312499,0.083775711,0.02209473,0.27935143749999997
0.556,-0.002153847,0.011473987304687499,0.083776219,0.022093658203124998,0.279350563
0.56,-0.002152506,0.011473082,0.083775047,0.022092215,0.27935125
0.564,-0.002152607,0.011472277,0.083774844,0.022093658203124998,0.279351188
0.568,-0.002151064,0.011472076,0.08377457,0.022092484,0.279352594
0.572,-0.002149723,0.011471606,0.083773203,0.022090605,0.279353875
0.576,-0.002149355,0.011471170898437499,0.083772594,0.022090539062499998,0.279353906
0.58,-0.002148516,0.011470869,0.083771758,0.022091311,0.27935418749999996
0.584,-0.002149288,0.011470434,0.083771688,0.022091646484374998,0.279353719
0.588,-0.002147343,0.011468991,0.083770953,0.022090037,0.279355531
0.592,-0.002150159,0.011468220703124999,0.083771688,0.022089701,0.279353719
0.596,-0.002149422,0.011468321,0.083770484,0.022088896,0.279353688
0.6,-0.002144896,0.011466578,0.083767836,0.022087521484374997,0.279356656
0.604,-0.00214285,0.011464432,0.083766766,0.022087422,0.279358219
0.608,-0.00214389,0.011462655273437499,0.083765352,0.022087152,0.279357688
0.612,-0.00214332,0.011462688,0.083764547,0.022085945312499997,0.279358094
0.616,-0.002144158,0.011464599609374999,0.083766227,0.022087187499999997,0.279357313
0.62,-0.002141744,0.0114647,0.08376643,0.022087488281249998,0.27935875
0.624,-0.002143957,0.011464499,0.083767,0.022088025,0.27935743749999997
0.628,-0.00214741,0.011464063,0.083770719,0.022091410156249998,0.279354938
0.632,-0.002143554,0.011462722,0.083770383,0.022090002,0.279358156
0.636,-0.00214171,0.011462520507812499,0.083769039,0.022090070312499998,0.279359781
0.64,-0.002143722,0.011461783,0.083768234,0.022091311,0.27935834374999996
0.644,-0.002145968,0.011461615,0.083768508,0.022092652343749998,0.279356719
0.648,-0.002142481,0.011460375,0.083767266,0.022091043,0.27935974999999996
0.652,-0.002140805,0.011459738,0.083765922,0.022089467,0.27936125
0.656,-0.00214228,0.011459502929687499,0.08376582,0.022090338,0.279359656
0.66,-0.002140135,0.011459939,0.083764484,0.022088428,0.279360813
0.664,-0.002140302,0.011460476,0.083763578,0.022086917968749998,0.279361656
0.668,-0.002140068,0.011460677,0.08376207,0.022085443359374998,0.279361656
0.672,-0.002138022,0.011459067,0.083760992,0.022084873,0.27936331249999996
0.676,-0.002136849,0.01145786,0.083760594,0.022083264,0.27936390624999996
0.68,-0.002135675,0.011457759765624999,0.083760328,0.022083297,0.279365
0.684,-0.002136849,0.011458999999999999,0.083760992,0.022084303,0.279364594
0.688,-0.002135843,0.011460508789062499,0.083760961,0.02208417,0.279366031
0.692,-0.002140805,0.011459939,0.083762469,0.022086951171874997,0.279362281
0.696,-0.002141375,0.01146071,0.083762469,0.022087756,0.27936115624999996
0.7,-0.002140436,0.011461783,0.083762367,0.022087891,0.27936137499999997
0.704,-0.002139364,0.011463124,0.083762672,0.022087891,0.27936271874999996
0.708,-0.002141777,0.011461850585937499,0.083762805,0.022088193359374998,0.27936153124999996
0.712,-0.002139766,0.011459135,0.083761898,0.022086516,0.279363
0.716,-0.002138123,0.011458564,0.083760391,0.02208551,0.27936390624999996
0.72,-0.002134904,0.011456955078124999,0.083757305,0.022084303,0.27936596874999997
0.724,-0.002132759,0.011456083984374999,0.083755562,0.022083732,0.27936774999999997
0.728,-0.002130981,0.011456653,0.083754422,0.022081387,0.27936946874999996
0.732,-0.002134469,0.011456955078124999,0.083756,0.022082492,0.279366875
0.736,-0.002134401,0.011458330078124999,0.083757773,0.022084001953124998,0.279366031
0.74,-0.002130412,0.011457827148437499,0.083756602,0.022082324218749998,0.279368813
0.744,-0.002135441,0.01145786,0.083758484,0.022084939,0.279365063
0.748,-0.002133563,0.01145729,0.083758781,0.022085141,0.279366688
0.752,-0.002132323,0.011456988,0.083757141,0.022082492,0.27936774999999997
0.756,-0.0021341,0.011457491,0.083757273,0.022083164,0.27936612499999997
0.76,-0.002133429,0.011456185,0.083757477,0.022085242,0.279366438
0.764,-0.002132993,0.01145538,0.083757375,0.02208665,0.279366594
0.768,-0.002133328,0.011456753906249999,0.083758047,0.022087555,0.279366844
0.772,-0.002133127,0.011457894,0.083758984,0.022087689,0.279366844
0.776,-0.002132188,0.011457659,0.083758383,0.022086684,0.27936774999999997
0.78,-0.002132725,0.011458162,0.083757641,0.022085074,0.27936725
