,time,F8,F4,F3,F7
0,0,-0.025717523,-0.013384726,-0.018236875,-0.022423568
1,0.004,-0.025713734,-0.013386503,-0.018231611,-0.022414719
2,0.008,-0.025714371,-0.013386,-0.018238385,-0.022418373
3,0.012,-0.025706861,-0.013381373,-0.018231377,-0.022412572
4,0.016,-0.025713701,-0.013390124,-0.018240631,-0.022423838
5,0.02,-0.025711891,-0.013382211,-0.018237814,-0.022416965
6,0.024,-0.025712896,-0.013377384,-0.01823084,-0.02240875
7,0.028,-0.025718496,-0.013386771,-0.018243111,-0.022426654
8,0.032,-0.025706357,-0.013375237,-0.018234629,-0.022427057
9,0.036,-0.025713299,-0.013376042,-0.018243078,-0.022433393
10,0.04,-0.0257136,-0.013376344,-0.018243748,-0.022428832
11,0.044,-0.025709846,-0.013368767,-0.018239121,-0.022422496
12,0.048,-0.025715109,-0.01337051,-0.01824318,-0.022428631
13,0.052,-0.025710215,-0.013366621,-0.018233623,-0.022421021
14,0.056,-0.025717053,-0.013370275,-0.018246531,-0.02243527
15,0.06,-0.025718629,-0.013375137,-0.018251795,-0.022439896
16,0.064,-0.02571977,-0.013372086,-0.018249717,-0.022435506
17,0.068,-0.025710684,-0.013353444,-0.018233992,-0.022422529
18,0.072,-0.025699049,-0.013346571,-0.018228191,-0.022419076
19,0.076,-0.025722787,-0.01337621,-0.018260043,-0.022449787
20,0.08,-0.02571826,-0.013368364,-0.018249516,-0.022438656
21,0.084,-0.025715914,-0.013362731,-0.018245895,-0.022433393
22,0.088,-0.025714371,-0.013356361,-0.018242475,-0.022426385
23,0.092,-0.025714975,-0.013356864,-0.018245592,-0.022429973
24,0.096,-0.025718127,-0.013359949,-0.018250588,-0.02243765
25,0.1,-0.025722553,-0.013364844,-0.01825223,-0.022440734
26,0.104,-0.025712729,-0.013357636,-0.018245592,-0.022433896
27,0.108,-0.02571075,-0.013355456,-0.018244822,-0.022431516
28,0.112,-0.025712494,-0.013355825,-0.018242072,-0.022432119
29,0.116,-0.025724195,-0.013366018,-0.018256086,-0.022445262
30,0.12,-0.025719904,-0.013358876,-0.018248006,-0.022433627
31,0.124,-0.025716115,-0.013348181,-0.018240832,-0.022423637
32,0.128,-0.025714305,-0.013344896,-0.018239859,-0.022419545
33,0.132,-0.025712461,-0.013348382,-0.01823976,-0.022422328
34,0.136,-0.025721949,-0.013359748,-0.01825498,-0.022440232
35,0.14,-0.025720473,-0.013358607,-0.01824757,-0.022433963
36,0.144,-0.025715143,-0.013357233,-0.018244855,-0.022428195
37,0.148,-0.025709945,-0.013351266,-0.018244586,-0.022425682
38,0.152,-0.025707096,-0.01334627,-0.018237479,-0.022418641
39,0.156,-0.025713566,-0.013353243,-0.018252633,-0.022435672
40,0.16,-0.025713197,-0.013353847,-0.018251393,-0.022436645
41,0.164,-0.025718764,-0.013359479,-0.018250924,-0.022438521
42,0.168,-0.025703576,-0.013355255,-0.018243916,-0.022427592
43,0.172,-0.025700658,-0.013354719,-0.018244721,-0.022423904
44,0.176,-0.025709107,-0.013362731,-0.018255182,-0.022439596
45,0.18,-0.02570857,-0.013360553,-0.018254813,-0.022440266
46,0.184,-0.025708537,-0.013358943,-0.018252332,-0.022434365
47,0.188,-0.025710717,-0.013358909,-0.01825317,-0.022433561
48,0.192,-0.025702469,-0.013350394,-0.018244184,-0.022426721
49,0.196,-0.02571816,-0.013362967,-0.018260881,-0.022444557
50,0.2,-0.025712326,-0.013355825,-0.018250219,-0.02243641
51,0.204,-0.025706928,-0.013348985,-0.018243916,-0.022430441
52,0.208,-0.025709744,-0.013350729,-0.018244654,-0.022429604
53,0.212,-0.02570552,-0.013345364,-0.018238854,-0.022422563
54,0.216,-0.025717959,-0.013356396,-0.01825508,-0.022441172
55,0.22,-0.025710113,-0.013347645,-0.018246096,-0.022434533
56,0.224,-0.025705018,-0.013340771,-0.018236439,-0.022426754
57,0.228,-0.025700289,-0.013334568,-0.018233221,-0.022425447
58,0.232,-0.025704916,-0.01333658,-0.018245459,-0.022433092
59,0.236,-0.025722184,-0.013357065,-0.018267385,-0.022449217
60,0.24,-0.025710852,-0.013359479,-0.018257092,-0.022444758
61,0.244,-0.025708035,-0.013355758,-0.018253572,-0.022438959
62,0.248,-0.025707162,-0.013352271,-0.018249615,-0.022433023
63,0.252,-0.025709477,-0.013350293,-0.018247369,-0.02243232
64,0.256,-0.025716215,-0.01335378,-0.018257193,-0.022443551
65,0.26,-0.025714137,-0.013350763,-0.018254143,-0.022440131
66,0.264,-0.025712561,-0.013352003,-0.018252029,-0.022432018
67,0.268,-0.025712191,-0.01335368,-0.018252029,-0.022429705
68,0.272,-0.025711756,-0.013350326,-0.018246297,-0.022427492
69,0.276,-0.025718025,-0.01334922,-0.018255518,-0.022441137
70,0.28,-0.025718059,-0.013356496,-0.018254008,-0.022440635
71,0.284,-0.025707766,-0.013350125,-0.01824348,-0.022426318
72,0.288,-0.025710348,-0.013352908,-0.018249582,-0.02243024
73,0.292,-0.025707432,-0.013349757,-0.018247068,-0.022429939
74,0.296,-0.025723994,-0.013367157,-0.018266078,-0.022451465
