,time,F8,F4,F3,F7,,,
0,0,0.068073758,0.183424,0.108314438,0.084164906,,,
1,0.004,0.068067828,0.183421625,0.108310883,0.084157188,,,
2,0.008,0.068067156,0.183420781,0.108311289,0.084160547,,,
3,0.012,0.068073594,0.183421219,0.108314641,0.084167414,,,
4,0.016,0.068076641,0.18342095312499998,0.108315852,0.084169023,,,
5,0.02,0.068069836,0.183418438,0.10831225781249999,0.084162289,,,
6,0.024,0.068063266,0.183415547,0.108307898,0.084156422,,,
7,0.028,0.068062867,0.183415359,0.10830757031249999,0.08415793,,,
8,0.032,0.068068797,0.183415953,0.10831082,0.084164398,,,
9,0.036,0.068070711,0.183415453,0.10831222656249999,0.084166312,,,
10,0.04,0.068063266,0.183413109,0.108308742,0.084158766,,,
11,0.044,0.068057336,0.183411391,0.10830441406249999,0.084151227,,,
12,0.048,0.068058805,0.183410922,0.10830391406249999,0.084152359,,,
13,0.052,0.068063367,0.183411625,0.108307266,0.084158867,,,
14,0.056,0.068066719,0.183411031,0.108308305,0.084159977,,,
15,0.06,0.068060688,0.183407906,0.10830454687499999,0.084153602,,,
16,0.064,0.068053875,0.183404688,0.108300891,0.084147437,,,
17,0.068,0.068054414,0.18340375,0.108301867,0.084149852,,,
18,0.072,0.068060352,0.183404453,0.108305961,0.084157695,,,
19,0.076,0.068061422,0.18340351562499999,0.108307398,0.084160945,,,
20,0.08,0.06805468,0.18340040624999998,0.108303781,0.084155984,,,
21,0.084,0.068049617,0.183396875,0.108300492,0.084149344,,,
22,0.088,0.068052,0.18339584374999998,0.10830156249999999,0.084150281,,,
23,0.092,0.068057664,0.18339643749999998,0.108304781,0.084157727,,,
24,0.096,0.068059141,0.183396109,0.108305484,0.084159937,,,
25,0.1,0.068051734,0.183393156,0.10830113281249999,0.084153203,,,
26,0.104,0.068044961,0.18339,0.108296734,0.084146969,,,
27,0.108,0.0680455,0.183389297,0.108296672,0.084148539,,,
28,0.112,0.068050859,0.183390047,0.108300125,0.084156484,,,
29,0.116,0.068052234,0.183389734,0.108301195,0.084159,,,
30,0.12,0.068045227,0.183386922,0.108297172,0.084152266,,,
31,0.124,0.068039023,0.18338434374999998,0.108292914,0.084145023,,,
32,0.128,0.068041672,0.1833835,0.108292211,0.084146164,,,
33,0.132,0.068049688,0.18338360937499998,0.108294492,0.084152563,,,
34,0.136,0.068052938,0.183382766,0.108295398,0.084152766,,,
35,0.14,0.068046266,0.183379578,0.108291375,0.084146461,,,
36,0.144,0.068039828,0.183376625,0.108287352,0.08414043,,,
37,0.148,0.068041375,0.18337575,0.108287016,0.084141703,,,
38,0.152,0.068047406,0.183375828,0.10829039843749999,0.084148039,,,
39,0.156,0.068048852,0.183374859,0.10829143749999999,0.084151023,,,
40,0.16,0.068042711,0.18337170312499998,0.108287852,0.084145125,,,
41,0.164,0.068036344,0.18336895312499998,0.108284063,0.084138484,,,
42,0.168,0.068037281,0.183368344,0.108284164,0.084139992,,,
43,0.172,0.068042711,0.18336865624999998,0.108287547,0.084147633,,,
44,0.176,0.068042914,0.183368078,0.108288688,0.084149984,,,
45,0.18,0.068036609,0.18336539062499999,0.108284805,0.084142875,,,
46,0.184,0.068031078,0.18336275,0.108280914,0.084136406,,,
47,0.188,0.068032656,0.183362547,0.10828182,0.084137477,,,
48,0.192,0.068038086,0.183363719,0.108285406,0.084143008,,,
49,0.196,0.068037953,0.18336339062499998,0.10828641406249999,0.084144016,,,
50,0.2,0.06803068,0.183360844,0.10828255468749999,0.084136469,,,
51,0.204,0.068025383,0.183358219,0.10827907031249999,0.084128961,,,
52,0.208,0.068027055,0.18335701562499998,0.108280211,0.084131445,,,
53,0.212,0.068034336,0.18335804687499999,0.108283563,0.084137844,,,
54,0.216,0.06803668,0.183357984,0.10828409374999999,0.084138047,,,
55,0.22,0.068030313,0.183354734,0.108280008,0.084131211,,,
56,0.224,0.068022898,0.183351719,0.10827678906249999,0.084126914,,,
57,0.228,0.068024109,0.183350719,0.10827803124999999,0.084129867,,,
58,0.232,0.068029906,0.183350953,0.10828164843749999,0.084135734,,,
59,0.236,0.068030781,0.183349875,0.10828235156249999,0.084137344,,,
60,0.24,0.068024242,0.183347156,0.10827799218749999,0.08412943,,,
61,0.244,0.068017266,0.18334481249999998,0.108274039,0.084123063,,,
62,0.248,0.068018242,0.183344609,0.10827450781249999,0.084125008,,,
63,0.252,0.068023539,0.183346047,0.10827839843749999,0.084130938,,,
64,0.256,0.068024039,0.183346453,0.108279406,0.084132648,,,
65,0.26,0.068018773,0.18334399999999998,0.10827521093749999,0.084125742,,,
66,0.264,0.06801368,0.18334095312499998,0.108271289,0.084120477,,,
67,0.268,0.068016125,0.183340188,0.108272195,0.084122453,,,
68,0.272,0.068022563,0.183341094,0.10827534374999999,0.084129898,,,
69,0.276,0.068024711,0.183340719,0.108276188,0.084130602,,,
70,0.28,0.068019109,0.183337563,0.108272734,0.084123063,,,
71,0.284,0.068013812,0.183334953,0.108268773,0.084118234,,,
72,0.288,0.068015594,0.18333431249999999,0.108269547,0.084121047,,,
73,0.292,0.068021758,0.183335625,0.10827307,0.084127281,,,
74,0.296,0.068023539,0.183335453,0.108274203,0.084127586,,,
75,0.3,0.068017703,0.183332344,0.10826968,0.084120813,,,
76,0.304,0.06801143,0.18332979687499998,0.10826528906249999,0.084114883,,,
77,0.308,0.068012375,0.18332915624999999,0.108266023,0.084115922,,,
78,0.312,0.068019344,0.18332979687499998,0.108269078,0.084120984,,,
79,0.316,0.068021523,0.18332901562499998,0.10827025,0.08412175,,,
80,0.32,0.068014852,0.183326438,0.108265992,0.084116289,,,
81,0.324,0.068007172,0.183323797,0.108261664,0.084111992,,,
82,0.328,0.068007844,0.183323219,0.10826230468749999,0.084112469,,,
83,0.332,0.068013711,0.183324422,0.10826578906249999,0.084119102,,,
84,0.336,0.068015187,0.183323922,0.10826693,0.084121016,,,
85,0.34,0.068008953,0.183321984,0.108263078,0.084113844,,,
86,0.344,0.06800325,0.18331970312499998,0.10825948437499999,0.084106664,,,
87,0.348,0.068005766,0.183318859,0.108260328,0.084108844,,,
88,0.352,0.068011336,0.183319094,0.108264484,0.084115984,,,
89,0.356,0.068011805,0.18331821874999998,0.10826582812499999,0.08411857,,,
90,0.36,0.068006336,0.183315344,0.1082615,0.084111758,,,
91,0.364,0.068000805,0.18331235937499998,0.108257547,0.084105828,,,
92,0.368,0.068002578,0.183311422,0.10825778124999999,0.084107602,,,
93,0.372,0.068008383,0.18331165624999998,0.10826085937499999,0.084114445,,,
94,0.376,0.06800925,0.183310484,0.108261094,0.084115016,,,
95,0.38,0.068002914,0.183307297,0.10825640624999999,0.08410968,,,
96,0.384,0.067997656,0.183304641,0.108252414,0.084104453,,,
97,0.388,0.067999125,0.18330431249999998,0.10825231249999999,0.08410757,,,
98,0.392,0.068005367,0.183304813,0.10825563281249999,0.084114883,,,
99,0.396,0.068007141,0.183304375,0.10825599999999999,0.084115648,,,
