time,F8,F4,Fz,F3,F7
0,0.000236169,0.00241553,0.076477023,-0.00561031,0.013107251
0.004,0.000232715,0.002413787,0.076476086,-0.005609203,0.013105676
0.008,0.000231508,0.002414189,0.076476953,-0.005611382,0.013105575
0.012,0.000233319,0.002414893,0.076478633,-0.005614098,0.013106916
0.016,0.000233185,0.002415631,0.076480141,-0.005616546,0.013108392
0.02,0.000234324,0.002415665,0.076479203,-0.005619161,0.013107386
0.024,0.000232648,0.002413586,0.0764785,-0.005619865,0.013106078
0.028,0.000230536,0.002411943,0.076478797,-0.005618524,0.013105742
0.032,0.000231408,0.002411775,0.076478766,-0.005617719,0.013105474609374999
0.036,0.000231776,0.002412178,0.076478164,-0.005617987,0.013105105
0.04,0.000231307,0.002412111,0.076476953,-0.005618859,0.013104804
0.044,0.000229932,0.002411373,0.07647625,-0.005621307,0.013104468749999999
0.048,0.000229664,0.002411205,0.076476953,-0.005624559,0.013103128
0.052,0.000232112,0.002411742,0.076477391,-0.005625866,0.013102457031249999
0.056,0.00023362,0.002411675,0.076477727,-0.005626135,0.013103027343749999
0.06,0.000230972,0.002410736,0.076477359,-0.005625498,0.013103329
0.064,0.000230603,0.002409697,0.076476117,-0.0056259,0.013101619
0.068,0.000230636,0.002408188,0.076475281,-0.005626302,0.013099271
0.072,0.000230704,0.002408926,0.07647675,-0.005628146,0.013099708007812499
0.076,0.000231676,0.002409428,0.076477422,-0.00562932,0.013100479
0.08,0.000229966,0.002408657,0.076477188,-0.005629119,0.013100880859374999
0.084,0.000228457,0.002406646,0.076474539,-0.005626135,0.01309897
0.088,0.000227518,0.002403662,0.076472625,-0.005622949,0.01309602
0.092,0.000227753,0.002403326,0.076473195,-0.005621709,0.013095014
0.096,0.000227284,0.002404366,0.07647343,-0.005621474,0.013096188
0.1,0.000225373,0.002403092,0.076471961,-0.005620703,0.013096188
0.104,0.000223227,0.002401415,0.076471523,-0.005622044,0.013095114
0.108,0.000223596,0.00240108,0.076471961,-0.005624425,0.013094242187499999
0.112,0.000227451,0.002401784,0.076472359,-0.005627073,0.013093572265624999
0.116,0.000225607,0.002403125,0.076474508,-0.005628381,0.013094242187499999
0.12,0.000222389,0.002402555,0.076474203,-0.005628951,0.013095315429687499
0.124,0.000220478,0.002399772,0.076473133,-0.005628817,0.013093639648437499
0.128,0.000218835,0.002399001,0.076474,-0.005628481,0.013090622070312499
0.132,0.000217594,0.00239766,0.076475242,-0.005625799,0.013091226
0.136,0.000217326,0.002396688,0.076475109,-0.005624961,0.013092063476562499
0.14,0.000217393,0.002397023,0.076475812,-0.005628347,0.013091326171874999
0.144,0.000221215,0.002397727,0.076476281,-0.005634449,0.013089582
0.148,0.000222456,0.002397157,0.076477758,-0.005637199,0.013089448
0.152,0.000221718,0.002397694,0.076478359,-0.005637467,0.013089783
0.156,0.000222757,0.002398364,0.076478398,-0.00563807,0.013090554687499999
0.16,0.000224736,0.002397895,0.076476953,-0.005637534,0.013088274
0.164,0.000223864,0.002396386,0.076475109,-0.005635724,0.013086129
0.168,0.00022373,0.002394609,0.076473836,-0.005633611,0.013083245
0.172,0.000222489,0.002395816,0.076476219,-0.005634047,0.013082608398437499
0.176,0.000224065,0.002396654,0.076476555,-0.005634147,0.013083111328124999
0.18,0.000223093,0.002394978,0.076475781,-0.005635857,0.013082407226562499
0.184,0.000224903,0.002393503,0.076475008,-0.005640652,0.013080865234374999
0.188,0.000226948,0.002393033,0.076474906,-0.005643435,0.013079256
0.192,0.000229128,0.002393167,0.076475281,-0.00564377,0.013078317
0.196,0.000230569,0.002394106,0.076475242,-0.005645748,0.013078753
0.2,0.000231709,0.002394978,0.076474375,-0.005647693,0.013078619
0.204,0.000230301,0.002394106,0.07647407,-0.005648531,0.013077948
0.208,0.000232246,0.002393302,0.076474945,-0.005649973,0.013074963867187499
0.212,0.000232615,0.00239367,0.076475945,-0.005651146,0.013076205
0.216,0.00023523,0.002393804,0.076474844,-0.00565299,0.013078786132812499
0.22,0.000236236,0.002392296,0.076472531,-0.005656175,0.013080093749999999
0.224,0.000234492,0.002391424,0.07647243,-0.005660232,0.013078686
0.228,0.000233017,0.002391692,0.076473633,-0.005662713,0.013077646
0.232,0.000232279,0.002392262,0.076474711,-0.005661875,0.013077579101562499
