,time,F8,F4,F3,F7
114,0.456,0.075914297,0.098357508,0.073509422,0.119124383
115,0.46,0.075944,0.098378633,0.073512781,0.119152273
116,0.464,0.075943398,0.098380109,0.073487664,0.11915361718749999
117,0.468,0.075950469,0.098388352,0.073481398,0.119167297
118,0.472,0.0759265,0.098371625,0.073490719,0.11914660937499999
119,0.476,0.075914461,0.098357547,0.073507148,0.119130109
120,0.48,0.075944773,0.09837907,0.073509492,0.11915535937499999
121,0.484,0.075947047,0.098380875,0.073482836,0.11915257812499999
122,0.488,0.075955766,0.098389094,0.073475156,0.119163273
123,0.492,0.075931156,0.098372797,0.073484008,0.11914308593749999
124,0.496,0.075916906,0.098359656,0.073502086,0.11913051562499999
125,0.5,0.075945508,0.098381617,0.073505469,0.119157742
126,0.504,0.075945609,0.098383695,0.073479617,0.119154922
127,0.508,0.075953922,0.09839,0.073470398,0.119164109
128,0.512,0.075931461,0.098371828,0.073478242,0.119142016
129,0.516,0.075918688,0.098358617,0.073495781,0.119127227
130,0.52,0.075946211,0.098380508,0.073500406,0.119155664
131,0.524,0.075948859,0.098383156,0.073475125,0.119154352
132,0.528,0.075957242,0.0983905,0.07346825,0.11916582031249999
133,0.532,0.075930719,0.098372867,0.073477977,0.11914493
134,0.536,0.075916477,0.098359555,0.073495344,0.119129172
135,0.54,0.075946414,0.098381719,0.073499102,0.119150734
136,0.544,0.075947953,0.098383625,0.073473352,0.119143859
137,0.548,0.075956102,0.098391172,0.073465234,0.119150195
138,0.552,0.075932031,0.09837468,0.073474086,0.119127969
139,0.556,0.075919594,0.098362234,0.073491352,0.119114352
140,0.56,0.075950539,0.098384805,0.073494102,0.119143891
141,0.564,0.075953391,0.098387383,0.073468484,0.119144023
142,0.568,0.075961969,0.098395195,0.07346168,0.11914832
143,0.572,0.075938906,0.098378063,0.073471039,0.119122266
144,0.576,0.075924617,0.098364922,0.073489344,0.11910443
145,0.58,0.075951945,0.098386742,0.073492625,0.119128367
146,0.584,0.07595268,0.098389094,0.073466344,0.119124313
147,0.588,0.07596093,0.098396875,0.073458828,0.119132391
148,0.592,0.075937195,0.098379703,0.073468687,0.119109625
149,0.596,0.075924992,0.098366094,0.073486695,0.119093063
150,0.6,0.07595493,0.098387484,0.073489977,0.119119281
151,0.604,0.075955164,0.098388891,0.073464969,0.11911657031249999
152,0.608,0.075962805,0.09839593,0.073457961,0.11912407812499999
153,0.612,0.075939438,0.0983785,0.07346718,0.119100609
154,0.616,0.075925758,0.098365594,0.073484953,0.11908474999999999
155,0.62,0.075953922,0.098388727,0.073488266,0.119111773
156,0.624,0.075955266,0.098390602,0.073461281,0.119110898
157,0.628,0.075963883,0.098397273,0.073453672,0.119121563
158,0.632,0.075940813,0.098380172,0.07346282,0.11910084374999999
159,0.636,0.075926227,0.098366898,0.073480656,0.11908628906249999
160,0.64,0.075953219,0.098387789,0.073484813,0.11911338281249999
161,0.644,0.075954156,0.09838943,0.073459539,0.11911284374999999
162,0.648,0.075961906,0.098397039,0.073452125,0.11912407812499999
163,0.652,0.075939875,0.098380875,0.073461813,0.119101914
164,0.656,0.075928578,0.098368906,0.073478883,0.119086023
165,0.66,0.075956844,0.098391102,0.073482,0.119111906
166,0.664,0.075956469,0.098393016,0.073457219,0.119110664
167,0.668,0.075965391,0.098400094,0.073451219,0.119122266
168,0.672,0.075942023,0.098384031,0.073460977,0.119101445
169,0.676,0.075929344,0.098371961,0.073478516,0.119083813
170,0.68,0.07595875,0.098393852,0.073481969,0.119103859
171,0.684,0.075959961,0.098394789,0.073456453,0.119096719
172,0.688,0.075968711,0.098402672,0.073450148,0.119103188
173,0.692,0.075944438,0.098387586,0.073460141,0.119079219
174,0.696,0.075929383,0.098373672,0.07347925,0.11906271874999999
175,0.7,0.075958617,0.098394656,0.073482906,0.119086664
176,0.704,0.075960531,0.098395461,0.073456687,0.11908267187499999
177,0.708,0.075968844,0.098402805,0.073449078,0.11909088281249999
178,0.712,0.075945273,0.098386812,0.073458266,0.119067883
179,0.716,0.07593143,0.098373,0.073475898,0.119052766
180,0.72,0.075958148,0.098393484,0.073478781,0.119081867
181,0.724,0.075959789,0.098394219,0.073452898,0.119081867
182,0.728,0.075968039,0.098401227,0.073445555,0.119092828
183,0.732,0.075944203,0.098386078,0.073454945,0.11907378906249999
184,0.736,0.075929445,0.098373336,0.073472273,0.119059266
185,0.74,0.075955664,0.098392047,0.073474859,0.11908337499999999
186,0.744,0.075956906,0.098392945,0.07345025,0.119081063
187,0.748,0.075965391,0.098400492,0.073443406,0.11909088281249999
188,0.752,0.075943531,0.098385977,0.073452766,0.119069961
189,0.756,0.075929516,0.0983725,0.073469695,0.119054945
190,0.76,0.075956336,0.098390398,0.073470836,0.119077508
191,0.764,0.075957711,0.098391906,0.073445523,0.11907543
192,0.768,0.075967398,0.098399219,0.073440289,0.119086523
193,0.772,0.075946313,0.098386141,0.073450922,0.119065469
194,0.776,0.075931523,0.098374242,0.073466844,0.11904927343749999
195,0.78,0.075957406,0.09839218,0.073467586,0.119073117
196,0.784,0.075959352,0.098393719,0.073441531,0.119071234
197,0.788,0.075967633,0.098401633,0.073434656,0.119080656
198,0.792,0.075946281,0.098387617,0.073444313,0.119061211
199,0.796,0.075933273,0.098374875,0.073460172,0.119047133
200,0.8,0.075958117,0.098392578,0.073461883,0.11907217968749999
201,0.804,0.07595825,0.098394422,0.073437141,0.119071
202,0.808,0.075969578,0.098402703,0.073429563,0.119081695
203,0.812,0.075949227,0.098388992,0.073438148,0.119063695
204,0.816,0.075934781,0.098376187,0.073456117,0.11905025
205,0.82,0.075958719,0.098392008,0.073459875,0.11907338281249999
206,0.824,0.075958953,0.09839218,0.07343543,0.119071945
