time,F8,F4,Fz,F3,F7
0,0.031220275,0.074215586,0.05049359,0.031504220703124995,0.032757182
0.004,0.031221852,0.074215148,0.050489602,0.031501908,0.032757449
0.008,0.031223059,0.074213844,0.050482828,0.031499863,0.032757148
0.012,0.031224031,0.074212164,0.050481723,0.031498354,0.032756611
0.016,0.031224667968749998,0.074210922,0.050490839843749996,0.031497918,0.03275641
0.02,0.031225607,0.074209953,0.050492249999999995,0.031496879,0.032757584
0.024,0.031226578124999998,0.074207938,0.050488394531249994,0.031495972656249996,0.032758925781249996
0.028,0.031227217,0.074205758,0.050482324,0.031494699,0.032759025
0.032,0.031227249999999998,0.07420375,0.050483398,0.031492754,0.032760266
0.036,0.031227953,0.07420318,0.050492988,0.031491783,0.032761271
0.04,0.031229094,0.074202242,0.050493558593749995,0.031491949218749996,0.032761809
0.044,0.031230199218749997,0.074200664,0.050490305,0.031491748,0.032763184
0.048,0.031231643,0.074198688,0.050483836,0.031490777,0.03276382
0.052,0.031232379,0.074196203,0.050484504,0.031490105,0.032765094
0.056,0.031232748046874998,0.074194461,0.050495234374999996,0.031489771,0.032765598
0.06,0.031233183593749998,0.074193453,0.050495871,0.031489268,0.0327661
0.064,0.031233688,0.074193188,0.050492652,0.031489939,0.032767910156249996
0.068,0.031234291,0.074192484,0.050487422,0.031490408,0.032768347656249995
0.072,0.031234592,0.074191211,0.050487355468749995,0.031489939,0.032768684
0.076,0.031235531,0.074191008,0.050497210937499995,0.03148967,0.032769320312499996
0.08,0.031236436,0.074191141,0.050498117,0.03148957,0.032769988281249995
0.084,0.031237039,0.074191344,0.050494863281249996,0.03148833,0.03277066
0.088,0.031237810546874998,0.074189797,0.050488293,0.031486853515624996,0.032770089843749996
0.092,0.031238447,0.07418682,0.050488359,0.031484607,0.032769484
0.096,0.031239386718749998,0.074185477,0.050498249999999995,0.031483535,0.032770457
0.1,0.031239990234374997,0.074184672,0.050499691,0.031483133,0.032773609
0.104,0.031241063,0.074183797,0.050496977,0.031482529,0.032775355468749996
0.108,0.031242001953124997,0.074182461,0.050490672,0.031480449,0.032774715
0.112,0.03124274,0.074181484,0.050490507812499995,0.031478941406249995,0.032773176
0.116,0.031243645,0.074180953,0.050499324218749995,0.031478641,0.032773711
0.12,0.031244182,0.074180078,0.050499593749999995,0.031478773437499996,0.032776492
0.124,0.031245221,0.074178805,0.050496374999999996,0.031479445,0.032778539
0.128,0.031246695,0.074176758,0.050490136718749995,0.031478371,0.032777902
0.132,0.031247568,0.07417418,0.050490105,0.031476728515624997,0.032777031
0.136,0.031249076171874998,0.074172,0.050499758,0.031475789062499995,0.03277723
0.14,0.031250785156249995,0.074170891,0.050500664,0.031474684,0.032778304687499996
0.144,0.031251892578124996,0.074169719,0.050497715,0.031472771,0.032779309
0.148,0.031252631,0.074167234,0.05049141,0.031470291,0.032778304687499996
0.152,0.031253268,0.074164758,0.050492016,0.031468246,0.032777398
0.156,0.031253602,0.074163313,0.050501703,0.031467441,0.032777297
0.16,0.031254541,0.074161875,0.050504352,0.031467105,0.032778035156249996
0.164,0.031255814453124996,0.074160398,0.050501203,0.031465865,0.032778035156249996
0.168,0.031255949218749995,0.074157984,0.050493457,0.031464189,0.032776461
0.172,0.031256352,0.074155969,0.05049282,0.031461943,0.03277559
0.176,0.031256988,0.074154734,0.050502105468749996,0.031461004,0.032775355468749996
0.18,0.031258229,0.074152719,0.050502008,0.031460836,0.032776258
0.184,0.031259604,0.074150375,0.050497816,0.031460133,0.032776727
0.188,0.031260005859374995,0.074146781,0.050490672,0.031457484,0.032776124999999996
0.192,0.031260309,0.074143234,0.050489902,0.031455707,0.032777031
0.196,0.031261011718749995,0.074140984,0.050498453124999995,0.031455203,0.032777297
0.2,0.03126175,0.074138203,0.05049966,0.031455238,0.032778977
0.204,0.031262588,0.074135484,0.050496339843749995,0.031454634765624996,0.032780348
0.208,0.031262888671874996,0.074132266,0.050489063,0.031452656249999995,0.032780918
0.212,0.031263693,0.07412875,0.050488124999999995,0.031450711,0.032780383
0.216,0.031264465,0.074126336,0.050497883,0.031449503906249995,0.032780785
0.22,0.031264666,0.074125023,0.050499425781249996,0.031448834,0.032782898
0.224,0.031265471,0.074123313,0.050496105,0.031448197,0.032783066
0.228,0.031265807,0.074120531,0.050490539,0.031446654,0.032782395
0.232,0.031265639,0.074118352,0.050490507812499995,0.031445916,0.032781957031249996
0.236,0.031266107,0.074117109,0.050500027,0.031445146,0.032782965
0.24,0.031267080078124995,0.074116141,0.050502676,0.031445514,0.032783734
0.244,0.031268355,0.074114867,0.050499691,0.031445348,0.032784238281249996
0.248,0.031268957031249996,0.074112422,0.05049359,0.031443201,0.032783566
0.252,0.031269125,0.074110039,0.050494160156249995,0.031441324,0.03278293
0.256,0.031269561,0.074109398,0.050504183593749995,0.031440754,0.032783367187499995
