,time,F8,F4,F3,F7,,,
0,0,0.067190141,0.171992359,0.164281641,0.167519781,,,
1,0.004,0.0671895,0.171995844,0.164286313,0.167523297,,,
2,0.008,0.067189875,0.171995688,0.16428845312499998,0.167523875,,,
3,0.012,0.067184711,0.17199192187499998,0.16428467187499998,0.167520516,,,
4,0.016,0.067177,0.171990344,0.16428210937499999,0.167519078,,,
5,0.02,0.067175023,0.171992797,0.164285172,0.167522125,,,
6,0.024,0.067180414,0.17199510937499998,0.164290203,0.16752575,,,
7,0.028,0.067187156,0.171994641,0.164291969,0.167526578,,,
8,0.032,0.067184242,0.171991094,0.164288016,0.16752340624999998,,,
9,0.036,0.067175258,0.171989781,0.164285906,0.16752232812499998,,,
10,0.04,0.067169992,0.171992391,0.16428915624999998,0.167525641,,,
11,0.044,0.067172133,0.171995281,0.16429471874999999,0.167529906,,,
12,0.048,0.067177234,0.171994906,0.164297406,0.16753107812499998,,,
13,0.052,0.067174484,0.171991125,0.164294563,0.167528234,,,
14,0.056,0.067167477,0.171989203,0.164291813,0.167526391,,,
15,0.06,0.067164961,0.171991484,0.164294656,0.167529203,,,
16,0.064,0.067169289,0.171994906,0.164300094,0.167533063,,,
17,0.068,0.067175258,0.17199525,0.16430217187499999,0.167533797,,,
18,0.072,0.067173344,0.171992359,0.164298813,0.16753070312499999,,,
19,0.076,0.067167172,0.17199092187499998,0.16429617187499998,0.167529234,,,
20,0.08,0.067166172,0.171992656,0.164299047,0.167531844,,,
21,0.084,0.067171664,0.171995313,0.16430421874999998,0.167535469,,,
22,0.088,0.067177906,0.17199581249999998,0.164305953,0.167535797,,,
23,0.092,0.067175352,0.171993375,0.164301828,0.167532016,,,
24,0.096,0.067168484,0.171992531,0.164298922,0.167529641,,,
25,0.1,0.0671655,0.17199551562499998,0.16430206249999998,0.167532422,,,
26,0.104,0.067169687,0.17199885937499998,0.164307469,0.167536438,,,
27,0.108,0.067175352,0.17199859374999998,0.16430937499999998,0.167537172,,,
28,0.112,0.067172672,0.171995688,0.16430551562499998,0.16753415624999998,,,
29,0.116,0.067164188,0.171995547,0.164302938,0.167533219,,,
30,0.12,0.067160031,0.171998766,0.164305984,0.16753634374999998,,,
31,0.124,0.067164563,0.172001813,0.164311547,0.167540359,,,
32,0.128,0.067170359,0.172001516,0.164313359,0.167540703,,,
33,0.132,0.067169148,0.17199826562499998,0.16430937499999998,0.167537219,,,
34,0.136,0.067164797,0.171996922,0.164306719,0.167535672,,,
35,0.14,0.067163922,0.171999797,0.16430981249999999,0.167538625,,,
36,0.144,0.06716875,0.172003359,0.164314844,0.16754228124999998,,,
37,0.148,0.067173883,0.172003797,0.164316688,0.167542781,,,
38,0.152,0.067171266,0.172000469,0.16431289062499999,0.167539625,,,
39,0.156,0.067164656,0.171998625,0.16431025,0.167538281,,,
40,0.16,0.067162477,0.172000141,0.1643135,0.167541266,,,
41,0.164,0.067168016,0.172002781,0.164318703,0.167545188,,,
42,0.168,0.067174781,0.172002484,0.16432060937499998,0.167546203,,,
43,0.172,0.067172203,0.171999172,0.164316953,0.167543109,,,
44,0.176,0.067166672,0.171996953,0.164314406,0.167541672,,,
45,0.18,0.067165633,0.171998797,0.164317219,0.167544453,,,
46,0.184,0.067170898,0.172001656,0.164322453,0.167548406,,,
47,0.188,0.067177672,0.172001109,0.164324266,0.167548984,,,
48,0.192,0.067176828,0.171996953,0.164320438,0.16754579687499999,,,
49,0.196,0.067172234,0.17199443749999999,0.16431771874999998,0.167544219,,,
50,0.2,0.067170664,0.171996688,0.164321172,0.167547344,,,
51,0.204,0.067174352,0.171999438,0.164326672,0.167551563,,,
52,0.208,0.06717975,0.171998531,0.164328453,0.167552203,,,
53,0.212,0.067177398,0.171994344,0.164324297,0.16754884374999998,,,
54,0.216,0.067171398,0.171992156,0.164321922,0.167547672,,,
55,0.22,0.067169922,0.171993672,0.16432549999999999,0.167551359,,,
56,0.224,0.06717418,0.171996281,0.164331203,0.167556063,,,
57,0.228,0.067179141,0.17199618749999998,0.16433314062499998,0.167557125,,,
58,0.232,0.067174352,0.171993609,0.16432924999999998,0.16755410937499998,,,
59,0.236,0.067164125,0.171993797,0.16432684374999998,0.16755343749999999,,,
60,0.24,0.06715993,0.17199721874999999,0.164330094,0.167557094,,,
61,0.244,0.067164023,0.171999875,0.164335063,0.167561219,,,
62,0.248,0.067170023,0.171999734,0.164336563,0.167561922,,,
63,0.252,0.067168148,0.17199659374999998,0.164332281,0.16755856249999998,,,
64,0.256,0.067162078,0.171994938,0.16432932812499998,0.16755726562499998,,,
65,0.26,0.067160938,0.171996828,0.164332469,0.167560547,,,
66,0.264,0.067165328,0.171999203,0.164337344,0.167564406,,,
67,0.268,0.067170156,0.171998328,0.164338641,0.167564844,,,
68,0.272,0.067165664,0.171995047,0.164335063,0.167562219,,,
69,0.276,0.067155977,0.17199343749999998,0.164333047,0.167561391,,,
70,0.28,0.067150742,0.17199618749999998,0.164336531,0.167564875,,,
71,0.284,0.06715232,0.171999766,0.164342094,0.167569469,,,
72,0.288,0.067155406,0.171999031,0.164343844,0.167570266,,,
73,0.292,0.06715118,0.171994906,0.164340328,0.167567156,,,
74,0.296,0.067143031,0.171992969,0.164337609,0.167565781,,,
75,0.3,0.067138945,0.171995281,0.164341125,0.16756920312499998,,,
76,0.304,0.067142195,0.171997797,0.164346891,0.167573563,,,
77,0.308,0.067148328,0.171996422,0.164348734,0.167574234,,,
78,0.312,0.067146055,0.171992297,0.164344844,0.16757087499999998,,,
79,0.316,0.067138344,0.171990719,0.164341891,0.167569563,,,
80,0.32,0.067134719,0.171993531,0.164345281,0.167573219,,,
81,0.324,0.067138914,0.17199618749999998,0.164350453,0.167576938,,,
82,0.328,0.067144305,0.171995547,0.164351781,0.167577078,,,
83,0.332,0.067140687,0.171992188,0.164347594,0.167574125,,,
84,0.336,0.067132906,0.171991766,0.164344844,0.167573156,,,
85,0.34,0.06712875,0.17199575,0.164347563,0.167576578,,,
86,0.344,0.067130961,0.17200034374999998,0.16435239062499998,0.167580672,,,
87,0.348,0.067134453,0.172000547,0.164353297,0.167580766,,,
88,0.352,0.067130766,0.171996922,0.164348938,0.167577281,,,
89,0.356,0.067122914,0.171995281,0.16434601562499998,0.167575797,,,
90,0.36,0.067119602,0.171997688,0.164349078,0.16757862499999998,,,
91,0.364,0.06712332,0.172000438,0.164353969,0.167582469,,,
92,0.368,0.067129961,0.171999703,0.164354641,0.167582844,,,
93,0.372,0.067128516,0.171995984,0.16434998437499998,0.167579422,,,
94,0.376,0.067121305,0.171994375,0.164346797,0.167577641,,,
95,0.38,0.067119031,0.17199659374999998,0.16434931249999998,0.16758073437499998,,,
96,0.384,0.067123625,0.171999406,0.16435406249999998,0.16758475,,,
97,0.388,0.067128414,0.17199870312499999,0.16435514062499998,0.16758525,,,
98,0.392,0.067126039,0.1719945,0.16435071874999999,0.16758173437499999,,,
99,0.396,0.067120031,0.1719925,0.164347594,0.16757999999999998,,,
100,0.4,0.067116883,0.171994609,0.16435060937499998,0.16758321874999998,,,
101,0.404,0.067119195,0.171998328,0.164355906,0.167587703,,,
102,0.408,0.06712325,0.171997625,0.16435684374999998,0.167588234,,,
103,0.412,0.067120234,0.17199370312499998,0.164352828,0.167585063,,,
104,0.416,0.067113094,0.171992,0.164350078,0.16758351562499998,,,
105,0.42,0.06711018,0.1719945,0.16435268749999998,0.167586391,,,
106,0.424,0.067114,0.171997797,0.164357688,0.16759012499999998,,,
107,0.428,0.067119062,0.171996859,0.164359,0.16759025,,,
108,0.432,0.067115844,0.171993063,0.164354328,0.16758656249999998,,,
109,0.436,0.067108469,0.171991094,0.164351156,0.167584688,,,
110,0.44,0.067104914,0.171993531,0.164354641,0.16758796874999998,,,
111,0.444,0.067108906,0.17199675,0.16436,0.167592266,,,
112,0.448,0.067113359,0.171996453,0.164361313,0.167592266,,,
113,0.452,0.067109172,0.171992969,0.164357016,0.16758864062499998,,,
114,0.456,0.067101664,0.17199165624999999,0.164353906,0.16758685937499998,,,
115,0.46,0.067099016,0.171994578,0.16435654687499998,0.167589578,,,
116,0.464,0.067103305,0.17199725,0.16436151562499998,0.16759334374999998,,,
117,0.468,0.067108063,0.17199659374999998,0.16436292187499998,0.167593844,,,
118,0.472,0.067103805,0.171992766,0.16435932812499998,0.16759082812499998,,,
