time,F8,F4,Fz,F3,F7
0,-0.005104445,-0.001627296,0.075700016,-0.016973053,0.006975722
0.004,-0.005104009,-0.001628637,0.075698445,-0.016973387,0.006975151
0.008,-0.005103976,-0.001629308,0.075698547,-0.016972818,0.006974179
0.012,-0.005107161,-0.001628235,0.075700016,-0.016971074,0.006975654
0.016,-0.005105954,-0.001627497,0.075700484,-0.016969967,0.006976627
0.02,-0.00510411,-0.001627866,0.075698609,-0.016969633,0.006974515
0.024,-0.005103271,-0.001628269,0.075697602,-0.016970236,0.00697143
0.028,-0.005103037,-0.001627833,0.075697906,-0.016968828,0.006970659
0.032,-0.005102098,-0.001627665,0.075698508,-0.016968123,0.006970994
0.036,-0.005102467,-0.001627833,0.075698578,-0.016967855,0.006971363
0.04,-0.00510421,-0.001628503,0.075697234,-0.016967453,0.006970759
0.044,-0.005105652,-0.001629744,0.075695258,-0.016966883,0.006970123
0.048,-0.005105618,-0.001631387,0.075694219,-0.016965709,0.006969083
0.052,-0.005105316,-0.001632258,0.075694453,-0.016963162,0.006968479
0.056,-0.005104881,-0.001632929,0.075693852,-0.016961352,0.006968044
0.06,-0.005104545,-0.001633935,0.075692242,-0.016960748,0.006966501
0.064,-0.005104713,-0.001634941,0.07569157,-0.01696249,0.006965261
0.068,-0.005105652,-0.001635276,0.075691906,-0.016963496,0.006965965
0.072,-0.005105887,-0.001633633,0.075694484,-0.016964402,0.00696744
0.076,-0.005105484,-0.001632225,0.07569482,-0.016964402,0.006967239
0.08,-0.005106188,-0.001631923,0.075694422,-0.016965441,0.006965797
0.084,-0.005106725,-0.001632191,0.075694688,-0.016966145,0.006965562
0.088,-0.005106658,-0.001631286,0.075695727,-0.016966949,0.006966803
0.092,-0.005106322,-0.00163018,0.07569593,-0.016967721,0.006969687
0.096,-0.005104814,-0.001630046,0.075695125,-0.016967789,0.006970055
0.1,-0.005105048,-0.001630984,0.075693852,-0.016968023,0.006969016
0.104,-0.005104915,-0.001631688,0.075693109,-0.016969029,0.006967272
0.108,-0.005103439,-0.001631152,0.075693852,-0.016969498,0.006966568
0.112,-0.005102131,-0.001630481,0.075694789,-0.016969732,0.006966971
0.116,-0.0051024,-0.001629543,0.075696328,-0.016971645,0.006968077
0.12,-0.00510364,-0.001629241,0.075696836,-0.016972783,0.006967574
0.124,-0.005104915,-0.00162971,0.075696164,-0.016971275,0.006965999
0.128,-0.005104143,-0.001629408,0.075696063,-0.016970906,0.006964389
0.132,-0.005102869,-0.001628101,0.075695992,-0.016970705,0.006964389
0.136,-0.005101595,-0.001627062,0.0756965,-0.016970404,0.006964255
0.14,-0.005101964,-0.001626324,0.075697539,-0.016971912,0.006962612
0.144,-0.005104311,-0.001627229,0.075697234,-0.016971879,0.006963451
0.148,-0.005105149,-0.001629073,0.075697234,-0.01697218,0.006965999
0.152,-0.005106658,-0.001630951,0.075697,-0.016970035,0.006968044
0.156,-0.005109072,-0.00163189,0.075696398,-0.016968057,0.006968547
0.16,-0.00511219,-0.001632996,0.075696703,-0.016966381,0.006966904
0.164,-0.00511571,-0.001633834,0.075696633,-0.01696276,0.006964624
0.168,-0.005116884,-0.001633633,0.075697437,-0.01696125,0.00696325
0.172,-0.005116381,-0.001633599,0.075697937,-0.016959641,0.00696392
0.176,-0.005115945,-0.001633532,0.075697266,-0.016957361,0.006964054
0.18,-0.005118292,-0.001634438,0.075696633,-0.016954947,0.006963316
0.184,-0.005120236,-0.001636282,0.075696227,-0.016955283,0.006962847
0.188,-0.005120404,-0.001636986,0.075697406,-0.016956455,0.006963987
0.192,-0.005119465,-0.001636181,0.07569807,-0.016958301,0.006965831
0.196,-0.005120404,-0.001634605,0.075698344,-0.016961418,0.006968211
0.2,-0.005120538,-0.001633432,0.07569918,-0.016965105,0.006967474
0.204,-0.005120002,-0.001633599,0.075700586,-0.016968426,0.006965395
0.208,-0.005121544,-0.001632996,0.075702805,-0.016970203,0.006966468
0.212,-0.005121544,-0.001632594,0.075703875,-0.016968996,0.006968614
0.216,-0.005120471,-0.001633197,0.075702367,-0.016966447,0.006968278
0.22,-0.005120136,-0.001634538,0.075700922,-0.016965777,0.006966233
0.224,-0.005121242,-0.001635343,0.075701695,-0.016967051,0.006965026
