,time,F8,F4,F3,F7,,
0,0,0.117906625,0.14839509374999998,0.11338981249999999,0.12508719531249998,,
1,0.004,0.11791212499999999,0.148400047,0.113395516,0.125093398,,
2,0.008,0.117916648,0.148403344,0.113400039,0.125098094,,
3,0.012,0.117914398,0.148399813,0.11339719531249999,0.12509518,,
4,0.016,0.117908469,0.148393813,0.113391258,0.125088805,,
5,0.02,0.117906625,0.148392078,0.113389617,0.12508676562499998,,
6,0.024,0.117912656,0.14839706249999998,0.113395445,0.125092727,,
7,0.028,0.117917422,0.14840035937499998,0.11339997656249999,0.125098094,,
8,0.032,0.11791490624999999,0.148396938,0.11339762499999999,0.125096789,,
9,0.036,0.117909203,0.148391,0.113391758,0.125091727,,
10,0.04,0.117907297,0.148388953,0.11338975,0.125090586,,
11,0.044,0.117913063,0.148393484,0.113395445,0.125097055,,
12,0.048,0.117918188,0.148396906,0.113400211,0.125102016,,
13,0.052,0.11791574218749999,0.148393813,0.11339769531249999,0.12509939843749998,,
14,0.056,0.117909711,0.14838804687499998,0.113391492,0.125093398,,
15,0.06,0.11790789843749999,0.148386281,0.113389414,0.12509162499999998,,
16,0.064,0.117913898,0.148391641,0.11339521093749999,0.125097992,,
17,0.068,0.117918594,0.148395219,0.113399703,0.125103461,,
18,0.072,0.11791594531249999,0.148391938,0.113397094,0.125101445,,
19,0.076,0.11791047656249999,0.148385797,0.11339139062499999,0.125095883,,
20,0.08,0.11790853124999999,0.148383297,0.11338964843749999,0.125094273,,
21,0.084,0.117914469,0.14838804687499998,0.113395922,0.125100242,,
22,0.088,0.11791899218749999,0.148390969,0.11340088281249999,0.125104969,,
23,0.092,0.117916813,0.14838704687499998,0.113398969,0.125102719,,
24,0.096,0.117910914,0.148380234,0.113393203,0.125097289,,
25,0.1,0.11790927343749999,0.148377391,0.11339152343749999,0.125095852,,
26,0.104,0.11791533593749999,0.148381641,0.113397727,0.12510228906249998,,
27,0.108,0.11792023437499999,0.148384531,0.11340296093749999,0.12510775,,
28,0.112,0.117917555,0.148380578,0.113400914,0.125105031,,
29,0.116,0.11791135156249999,0.148373906,0.113395383,0.12509926562499998,,
30,0.12,0.11790960937499999,0.14837135937499998,0.113394313,0.125097961,,
31,0.124,0.11791557812499999,0.148375641,0.113400711,0.125104328,,
32,0.128,0.117920539,0.148378828,0.11340618,0.125109727,,
33,0.132,0.117917922,0.14837525,0.11340416406249999,0.125107516,,
34,0.136,0.117912023,0.148368906,0.113398703,0.125101547,,
35,0.14,0.117910375,0.148366656,0.11339753124999999,0.125099602,,
36,0.144,0.11791644531249999,0.148371313,0.113403898,0.125105172,,
37,0.148,0.117921445,0.14837473437499998,0.113409531,0.125110133,,
38,0.152,0.11791906249999999,0.148371516,0.11340768749999999,0.12510782,,
39,0.156,0.11791366406249999,0.148365656,0.113402156,0.125101648,,
40,0.16,0.117912523,0.148363844,0.11340060937499999,0.125099836,,
41,0.164,0.11791865624999999,0.148368734,0.113406547,0.125105266,,
42,0.168,0.11792392187499999,0.148372156,0.113411445,0.125109828,,
43,0.172,0.117921273,0.14836876562499998,0.113408758,0.125107047,,
44,0.176,0.117915141,0.148362438,0.113402727,0.125101008,,
45,0.18,0.11791296093749999,0.148359984,0.11340088281249999,0.12509910156249998,,
46,0.184,0.11791893,0.148364484,0.11340668,0.125105172,,
47,0.188,0.117924023,0.148367672,0.11341147656249999,0.125110164,,
48,0.192,0.11792164062499999,0.148364406,0.11340935937499999,0.125107617,,
49,0.196,0.117916313,0.148358203,0.113403531,0.12510174999999998,,
50,0.2,0.117915141,0.148356234,0.113401984,0.12510064062499998,,
51,0.204,0.11792100781249999,0.148361063,0.11340822656249999,0.125107586,,
52,0.208,0.11792579687499999,0.14836398437499998,0.11341274999999999,0.125113016,,
53,0.212,0.11792325,0.148360094,0.11340976562499999,0.125111,,
54,0.216,0.117917148,0.148353813,0.113403727,0.125105641,,
55,0.22,0.11791520312499999,0.148351469,0.11340185156249999,0.125104602,,
56,0.224,0.11792093749999999,0.148356125,0.113407922,0.12511157,,
57,0.228,0.117924898,0.148359578,0.11341274999999999,0.12511743749999998,,
58,0.232,0.117922617,0.148356234,0.113410164,0.125115531,,
59,0.236,0.117916813,0.148350063,0.11340420312499999,0.125109898,,
60,0.24,0.11791507,0.148347984,0.113402492,0.125107953,,
61,0.244,0.11792167968749999,0.148352953,0.113408492,0.12511411718749998,,
62,0.248,0.117926938,0.148356328,0.113413148,0.125118984,,
63,0.252,0.117924797,0.148352906,0.11341046874999999,0.125116969,,
64,0.256,0.117919164,0.148347188,0.113404672,0.12511203906249999,,
65,0.26,0.117917789,0.148345641,0.11340296093749999,0.125110938,,
66,0.264,0.11792342187499999,0.148350094,0.113408422,0.125117242,,
67,0.268,0.11792835156249999,0.148353016,0.11341271874999999,0.12512307,,
68,0.272,0.117925938,0.148349734,0.113410133,0.12512186718749999,,
69,0.276,0.11792026562499999,0.14834435937499998,0.113404602,0.125117406,,
70,0.28,0.11791865624999999,0.14834254687499998,0.113402727,0.12511643749999998,,
71,0.284,0.11792442187499999,0.14834710937499998,0.11340815624999999,0.125122633,,
72,0.288,0.117928953,0.148350094,0.11341271874999999,0.125128133,,
73,0.292,0.117925938,0.148346781,0.113410336,0.125126422,,
74,0.296,0.11791956249999999,0.148340703,0.113404398,0.125121664,,
75,0.3,0.117917992,0.148338188,0.11340205468749999,0.12512089062499998,,
76,0.304,0.11792405468749999,0.148342453,0.11340732031249999,0.125127633,,
77,0.308,0.117928953,0.148345609,0.11341164062499999,0.125133328,,
78,0.312,0.117926305,0.148342422,0.113408789,0.125132055,,
79,0.316,0.1179205,0.14833668749999998,0.11340262499999999,0.125127227,,
80,0.32,0.117918555,0.14833464062499999,0.113400344,0.125126328,,
81,0.324,0.11792392187499999,0.148339234,0.113405711,0.125132727,,
82,0.328,0.11792835156249999,0.148342516,0.113410203,0.12513822656249998,,
83,0.332,0.117925633,0.148339266,0.11340725,0.12513614843749998,,
84,0.336,0.11791989843749999,0.148333438,0.113401078,0.125130953,,
85,0.34,0.11791835937499999,0.14833212499999998,0.113399508,0.125130383,,
86,0.344,0.11792442187499999,0.14833709374999998,0.11340524218749999,0.12513725781249999,,
87,0.348,0.117929859,0.148340609,0.113410031,0.125143023,,
88,0.352,0.117927578,0.148337188,0.11340728124999999,0.125141313,,
89,0.356,0.117921406,0.148331219,0.11340060937499999,0.12513618,,
90,0.36,0.11791906249999999,0.14832896874999998,0.113398164,0.125134875,,
91,0.364,0.11792462499999999,0.148333766,0.11340366406249999,0.12514141406249998,,
92,0.368,0.117929555,0.148337453,0.11340835937499999,0.125147148,,
93,0.372,0.117926672,0.14833390624999998,0.11340557,0.12514507,,
94,0.376,0.11792060156249999,0.148327469,0.11339914062499999,0.12513957,,
95,0.38,0.11791893,0.148325125,0.113397094,0.12513822656249998,,
96,0.384,0.117924898,0.148329984,0.11340275781249999,0.12514435937499999,,
97,0.388,0.117929992,0.14833353124999998,0.113407891,0.125148992,,
98,0.392,0.117927641,0.14833025,0.11340574218749999,0.125145969,,
99,0.396,0.117921742,0.148324344,0.113400211,0.125140242,,
100,0.4,0.117919633,0.148322234,0.113398469,0.12513892968749998,,
101,0.404,0.11792532812499999,0.148326531,0.113404063,0.12514573437499998,,
102,0.408,0.11793042968749999,0.148329781,0.113408961,0.125151172,,
103,0.412,0.11792835156249999,0.14832656249999998,0.11340657812499999,0.125148117,,
104,0.416,0.117922953,0.14832073437499999,0.113401047,0.125141883,,
105,0.42,0.117921445,0.148318984,0.113399508,0.125140102,,
106,0.424,0.11792724218749999,0.148323906,0.11340557,0.125146008,,
107,0.428,0.11793217187499999,0.148327438,0.113410672,0.125150563,,
108,0.432,0.11792911718749999,0.14832378124999998,0.11340832031249999,0.125147547,,
109,0.436,0.11792238281249999,0.148317578,0.11340259374999999,0.12514175,,
110,0.44,0.11791976562499999,0.148315125,0.113400547,0.125139672,,
111,0.444,0.11792579687499999,0.148319719,0.11340618,0.125145133,,
112,0.448,0.117930828,0.148322844,0.113410969,0.125149563,,
113,0.452,0.117928719,0.14831962499999998,0.113408789,0.125146844,,
114,0.456,0.11792308593749999,0.14831354687499998,0.11340292187499999,0.125140672,,
115,0.46,0.117921172,0.148311438,0.113400984,0.125138961,,
116,0.464,0.11792710937499999,0.148316375,0.113406852,0.125145133,,
117,0.468,0.117931703,0.148319688,0.113411711,0.125150367,,
118,0.472,0.117928719,0.148316234,0.11340926562499999,0.12514889062499998,,
119,0.476,0.11792267968749999,0.14831017187499998,0.113403156,0.125143828,,
120,0.48,0.11792060156249999,0.148307781,0.113400945,0.125142688,,
121,0.484,0.117926438,0.14831187499999998,0.11340641406249999,0.12514889062499998,,
122,0.488,0.11793146874999999,0.148315297,0.113411609,0.12515418749999999,,
123,0.492,0.117929086,0.148312219,0.113409297,0.125152008,,
124,0.496,0.117922953,0.14830590624999998,0.11340366406249999,0.12514614062499999,,
125,0.5,0.11792134374999999,0.148303766,0.113401984,0.12514489843749999,,
126,0.504,0.117927375,0.148308047,0.11340775,0.125151266,,
127,0.508,0.117932234,0.148311547,0.11341328906249999,0.1251565,,
128,0.512,0.117930055,0.148308359,0.113411242,0.125153547,,
129,0.516,0.117924523,0.14830225,0.113405438,0.12514710937499998,,
130,0.52,0.117922578,0.148299813,0.113403727,0.12514435937499999,,
131,0.524,0.117928313,0.148304172,0.11340969531249999,0.125149625,,
132,0.528,0.117933445,0.148307516,0.113414992,0.125154391,,
133,0.532,0.11793133593749999,0.14830423437499998,0.113412953,0.125151805,,
134,0.536,0.11792529687499999,0.14829859374999999,0.11340761718749999,0.125146008,,
135,0.54,0.117922984,0.14829625,0.113405977,0.125143859,,
136,0.544,0.11792882031249999,0.14830104687499998,0.11341217968749999,0.12515029687499998,,
137,0.548,0.11793384374999999,0.148304734,0.11341744531249999,0.125155766,,
138,0.552,0.117931234,0.148301516,0.11341516406249999,0.125153445,,
139,0.556,0.117924992,0.148295578,0.11340935937499999,0.125147984,,
140,0.56,0.117922984,0.148293609,0.113407586,0.125146875,,
141,0.564,0.117928547,0.148298438,0.113413555,0.12515318,,
142,0.568,0.11793368,0.148302219,0.11341875,0.12515780468749998,,
143,0.572,0.11793176562499999,0.148299703,0.11341690624999999,0.125155094,,
144,0.576,0.117925938,0.148294047,0.113411203,0.125148789,,
145,0.58,0.117923617,0.148292063,0.11340939843749999,0.12514643749999999,,
146,0.584,0.117929453,0.148297219,0.11341546093749999,0.12515224218749998,,
147,0.588,0.117934852,0.14830134374999998,0.113420695,0.12515710156249998,,
148,0.592,0.11793257,0.148298734,0.11341835156249999,0.125154352,,
149,0.596,0.11792674218749999,0.148293234,0.113412484,0.125148453,,
150,0.6,0.11792493,0.148291422,0.11341046874999999,0.125146641,,
151,0.604,0.117930625,0.148296313,0.113416133,0.12515237499999998,,
152,0.608,0.117935117,0.148299766,0.11342072656249999,0.12515710156249998,,
153,0.612,0.11793196874999999,0.148296453,0.11341807812499999,0.12515415624999998,,
154,0.616,0.117925734,0.14829075,0.113412008,0.125148148,,
155,0.62,0.11792392187499999,0.148288969,0.11341,0.12514667968749998,,
156,0.624,0.11793022656249999,0.148294438,0.113415398,0.125153281,,
157,0.628,0.117935023,0.148298359,0.11341932031249999,0.12515834374999998,,
158,0.632,0.11793196874999999,0.148295047,0.11341599999999999,0.125155523,,
159,0.636,0.11792640624999999,0.148289875,0.11341030468749999,0.12514975781249998,,
160,0.64,0.117924727,0.148288406,0.113408422,0.125147547,,
161,0.644,0.11793029687499999,0.148293266,0.113414023,0.125152977,,
162,0.648,0.11793515624999999,0.148297453,0.113419117,0.125158078,,
163,0.652,0.117932742,0.148294938,0.11341707031249999,0.125155594,,
164,0.656,0.11792674218749999,0.148289453,0.113411375,0.12514918749999998,,
165,0.66,0.117924797,0.14828773437499998,0.113409633,0.125146875,,
166,0.664,0.11793056249999999,0.148292828,0.11341546093749999,0.12515224218749998,,
167,0.668,0.117935523,0.14829651562499999,0.113420492,0.125156836,,
168,0.672,0.117932641,0.14829332812499998,0.113417914,0.12515382,,
169,0.676,0.117926805,0.14828773437499998,0.11341204687499999,0.125147781,,
170,0.68,0.117925094,0.148286031,0.11341026562499999,0.12514643749999999,,
171,0.684,0.11793076562499999,0.148291156,0.113416172,0.125152813,,
172,0.688,0.11793619531249999,0.148295172,0.11342133593749999,0.125158078,,
173,0.692,0.117933648,0.14829243749999999,0.11341918749999999,0.12515593,,
174,0.696,0.117927547,0.148286625,0.11341325,0.12515013281249998,,
175,0.7,0.11792549999999999,0.148284891,0.113411375,0.12514821874999998,,
176,0.704,0.117931297,0.14828984374999998,0.11341690624999999,0.12515382,,
177,0.708,0.117935727,0.148292906,0.113421195,0.125158313,,
178,0.712,0.117932977,0.148289406,0.113418383,0.125155492,,
179,0.716,0.117926977,0.14828328124999998,0.11341217968749999,0.125149328,,
180,0.72,0.11792496093749999,0.14828120312499998,0.11341026562499999,0.125147211,,
181,0.724,0.11793113281249999,0.148286297,0.113416102,0.125152977,,
182,0.728,0.11793619531249999,0.148290313,0.11342133593749999,0.12515834374999998,,
183,0.732,0.117933273,0.148287563,0.113418883,0.125156195,,
184,0.736,0.117928117,0.14828187499999998,0.11341288281249999,0.125150227,,
185,0.74,0.11792690624999999,0.148279859,0.113410906,0.125148555,,
186,0.744,0.11793300781249999,0.14828468749999998,0.11341640624999999,0.12515482,,
187,0.748,0.117938141,0.1482885,0.11342133593749999,0.12515988281249998,,
188,0.752,0.117935594,0.14828524999999998,0.11341844531249999,0.12515696874999999,,
189,0.756,0.11792939062499999,0.148279219,0.11341204687499999,0.12515046093749999,,
190,0.76,0.11792781249999999,0.148277984,0.113410164,0.125148656,,
191,0.764,0.11793374999999999,0.14828320312499998,0.113415766,0.125154523,,
192,0.768,0.117938539,0.148286703,0.113420156,0.125159117,,
