,time,F8,F4,F3,F7
0,0,-0.021046656,-0.009812929,-0.016478654,-0.017333541
1,0.004,-0.021052559,-0.009819701,-0.016483047,-0.017339408
2,0.008,-0.02105876,-0.009824261,-0.016485125,-0.017341486
3,0.012,-0.021064359,-0.009831168,-0.016488881,-0.017344572
4,0.016,-0.021053061,-0.009819198,-0.016473725,-0.017330121
5,0.02,-0.021053094,-0.009815511,-0.016466416,-0.017323113
6,0.024,-0.021056715,-0.009820305,-0.016464707,-0.017320936
7,0.028,-0.02106493,-0.009827949,-0.016473592,-0.017327506
8,0.032,-0.021068248,-0.009829391,-0.016476877,-0.017329217
9,0.036,-0.021068785,-0.009829189,-0.016467623,-0.017322443
10,0.04,-0.021065734,-0.009826574,-0.016458604,-0.017313793
11,0.044,-0.021067311,-0.009829425,-0.016458402,-0.01730967
12,0.048,-0.021079615,-0.009840991,-0.016465377,-0.017317414
13,0.052,-0.021085582,-0.009847563,-0.016468496,-0.01732023
14,0.056,-0.021075793,-0.009840086,-0.016453877,-0.017307355
15,0.06,-0.02106892,-0.009833548,-0.016442008,-0.017297867
16,0.064,-0.021073547,-0.00984012,-0.01644583,-0.017299879
17,0.068,-0.021080051,-0.00984478,-0.016446602,-0.017301857
18,0.072,-0.021088332,-0.009853665,-0.016450893,-0.017303533
19,0.076,-0.021084141,-0.009849675,-0.016437281,-0.017288982
20,0.08,-0.021083807,-0.009850278,-0.016435504,-0.017287307
21,0.084,-0.021082063,-0.009846255,-0.016430742,-0.017279863
22,0.088,-0.02108984,-0.009850044,-0.016434432,-0.017288313
23,0.092,-0.021094937,-0.009854033,-0.016437783,-0.01729009
24,0.096,-0.021089572,-0.009849508,-0.016428229,-0.017280332
25,0.1,-0.02108984,-0.009849172,-0.016423334,-0.017272855
26,0.104,-0.021091416,-0.009851418,-0.016419277,-0.017267793
27,0.108,-0.021096881,-0.0098596,-0.016423568,-0.017272219
28,0.112,-0.021101709,-0.009864226,-0.016426283,-0.017274264
29,0.116,-0.021097619,-0.009857453,-0.016417533,-0.017264607
30,0.12,-0.021094064,-0.009851888,-0.016407709,-0.017254113
31,0.124,-0.021092893,-0.009852793,-0.016405598,-0.017250762
