,time,F8,F4,F3,F7
0,0,0.031174578124999998,0.095200719,0.193380031,0.152068281
1,0.004,0.031181148,0.095201352,0.19337482812499998,0.152068141
2,0.008,0.031183396484374997,0.095203969,0.19337078124999998,0.152069547
3,0.012,0.031175583984374998,0.095199406,0.193368422,0.152068438
4,0.016,0.031164553,0.095191094,0.19336610937499998,0.152065266
5,0.02,0.031156976562499997,0.095188078,0.193362859,0.152062234
6,0.024,0.031160999999999998,0.095191664,0.193359078,0.152061328
7,0.028,0.031166062499999998,0.095196258,0.193354719,0.152061906
8,0.032,0.031157781,0.095194578,0.193350656,0.152060234
9,0.036,0.031147252,0.095187273,0.193346297,0.152056703
10,0.04,0.031144201,0.095183414,0.19334129687499998,0.152053766
11,0.044,0.031151879,0.095186539,0.193335266,0.15205225
12,0.048,0.031156841796874998,0.095191125,0.19332914062499998,0.152053297
13,0.052,0.031151343749999998,0.095187844,0.193323563,0.152052984
14,0.056,0.031138469,0.095180633,0.193318172,0.15205101562499998
15,0.06,0.031134613281249997,0.09517832,0.193312203,0.152048219
16,0.064,0.031141018,0.095181641,0.193304828,0.152049
17,0.068,0.031145979,0.095186672,0.193296813,0.152050875
18,0.072,0.031145005859374998,0.095183648,0.193290844,0.15204856249999998
19,0.076,0.031133003906249998,0.095176172,0.193286313,0.152045578
20,0.08,0.031128176,0.095172383,0.193281563,0.152043766
21,0.084,0.031132499999999997,0.095176648,0.193275281,0.152043203
22,0.088,0.031140982421874998,0.095182609,0.193267672,0.152041453
23,0.092,0.031136557,0.095180336,0.19326174999999998,0.152039375
24,0.096,0.031124621,0.09517225,0.19325745312499998,0.152035313
25,0.1,0.031122309,0.095167992,0.19325329687499998,0.15203206249999998
26,0.104,0.031129818,0.095170406,0.193247297,0.152031938
27,0.108,0.031138970703124998,0.095174867,0.193240953,0.152030188
28,0.112,0.031134580078124998,0.095170914,0.193237328,0.152026875
29,0.116,0.031124723,0.095162562,0.193234516,0.152023375
30,0.12,0.031122777343749998,0.095155656,0.19323193749999998,0.152021875
31,0.124,0.031128980468749998,0.09515582,0.193227953,0.15202271874999998
32,0.128,0.031136054687499998,0.095159242,0.193224094,0.152023375
33,0.132,0.031132098,0.095155492,0.193221203,0.152020906
34,0.136,0.031119693,0.095146133,0.193220094,0.15201789062499999
35,0.14,0.03111634,0.095141141,0.19321775,0.15201567187499998
36,0.144,0.031123816406249998,0.095142344,0.19321390624999998,0.152016313
37,0.148,0.031129115234374997,0.095144992,0.193210281,0.152017813
38,0.152,0.031124251953124998,0.095141906,0.193207469,0.15201707812499998
39,0.156,0.031115971,0.095132352,0.193204906,0.15201292187499998
40,0.16,0.031110539062499998,0.095127461,0.193200422,0.152010641
41,0.164,0.031117849609374998,0.095128664,0.193195188,0.152010313
42,0.168,0.031126801,0.095130547,0.193190125,0.152012156
43,0.172,0.031120633,0.095128133,0.19318687499999998,0.152011641
44,0.176,0.031109869,0.095119813,0.19318368749999998,0.152009234
