time,F8,F4,Fz,F3,F7
0,0.022858623,0.032043781,0.084101062,0.044804660156249995,0.029140658
0.004,0.022857953,0.032042172,0.084097813,0.044804660156249995,0.0291421
0.008,0.022857719,0.032042339843749996,0.084097914,0.044804691,0.029144615234374997
0.012,0.022857818,0.03204368,0.084100969,0.044805094,0.029144783
0.016,0.022858053,0.032043111,0.084103078,0.04480573,0.029141766
0.02,0.022857082,0.032042037,0.084101297,0.04480523,0.029141363
0.024,0.022857551,0.032042271484374996,0.084099086,0.044804828,0.029143811
0.028,0.022858725,0.032042641,0.084099992,0.044804156,0.029145318
0.032,0.022859059,0.032043346,0.084102906,0.044803383,0.029145519531249997
0.036,0.022858656249999998,0.032044049,0.084105055,0.044802414,0.029143811
0.04,0.022857919921874997,0.032044854,0.084105156,0.044801105,0.029142838
0.044,0.022858154,0.032043412109374995,0.084101539,0.044800168,0.02914542
0.048,0.022859764,0.032043479,0.084099086,0.044800234,0.029146693
0.052,0.0228605,0.032043111,0.084099727,0.044798961,0.029144179687499997
0.056,0.022861406,0.032043043,0.084101672,0.044799563,0.029143979
0.06,0.022861943359374998,0.032043445,0.084102641,0.04479973,0.029144381
0.064,0.02286201,0.032044417968749996,0.084101469,0.044798691,0.0291421
0.068,0.022860902,0.032042775,0.084100359,0.044797382812499995,0.029140357
0.072,0.022859596,0.032041635,0.084101805,0.044797113281249995,0.029142805
0.076,0.02285973,0.032042875,0.084103211,0.044797113281249995,0.029142369
0.08,0.02286134,0.032043982,0.084102203,0.044796546874999996,0.029142805
0.084,0.022861574,0.032044283203124996,0.084100562,0.044796445312499995,0.029143005859374998
0.088,0.022861305,0.032044552734374995,0.084100695,0.044795605,0.029142300781249998
0.092,0.022861103515624998,0.032043781,0.084101906,0.0447945,0.029141697
0.096,0.022862043,0.032043145,0.084103445,0.0447945,0.029140156
0.1,0.022861271484374997,0.032042607,0.084103242,0.04479507,0.029140088
0.104,0.022859863,0.032042709,0.084102305,0.04479527,0.029141832
0.108,0.022860667968749998,0.032041971,0.08410207,0.044794199,0.029141732
